query_id,flight_id,image_name,image_path,width_px,height_px,fx_px,fy_px,cx_px,cy_px,k1,k2,p1,p2,intrinsics_source,intrinsics_model,original_query_path,selected_original_path,has_metadata_removed,sanitization_method,downsample_target_gsd_m,estimated_query_gsd_m,downsample_scale,original_width_px,original_height_px,intrinsics_scale_x,intrinsics_scale_y
q_011,DJI_202510311347_009_新建面状航线1,DJI_20251031140135_0215_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099933919173,0.199867838346,5280,3956,0.199810606061,0.199949443883
q_012,DJI_202510311347_009_新建面状航线1,DJI_20251031140321_0240_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099929355600,0.199858711200,5280,3956,0.199810606061,0.199949443883
q_013,DJI_202510311347_009_新建面状航线1,DJI_20251031140335_0246_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099939824973,0.199879649945,5280,3956,0.199810606061,0.199949443883
q_014,DJI_202510311347_009_新建面状航线1,DJI_20251031140411_0267_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099932576946,0.199865153891,5280,3956,0.199810606061,0.199949443883
q_015,DJI_202510311347_009_新建面状航线1,DJI_20251031140559_0296_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099934724509,0.199869449018,5280,3956,0.199810606061,0.199949443883
q_016,DJI_202510311347_009_新建面状航线1,DJI_20251031140618_0304_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099933113836,0.199866227673,5280,3956,0.199810606061,0.199949443883
q_017,DJI_202510311347_009_新建面状航线1,DJI_20251031140841_0354_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099932845391,0.199865690782,5280,3956,0.199810606061,0.199949443883
q_018,DJI_202510311347_009_新建面状航线1,DJI_20251031140856_0360_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099932576946,0.199865153891,5280,3956,0.199810606061,0.199949443883
q_019,DJI_202510311347_009_新建面状航线1,DJI_20251031140905_0364_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099937677409,0.199875354818,5280,3956,0.199810606061,0.199949443883
q_020,DJI_202510311347_009_新建面状航线1,DJI_20251031141125_0412_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/query_inputs/images_downsampled_0p5m/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,1055,791,744.217806,744.734924,529.609340,392.109100,-0.108451579368,0.000500674618,0.000214683990,-0.000218283216,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json|query_manifest_downsample,dji m3e 5280 3956 brown 0.6666,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,1,pillow_reencode_without_metadata,0.500000000000,0.099933919173,0.199867838346,5280,3956,0.199810606061,0.199949443883
