query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,1,1,cw_s200_x253783.721_y3364952.517,0.9010123014450073,200.000,253783.72102534556,3364952.5166208195,5000,1.0,4899,0.9798,1.2489863634109497,1,4899106.731013637,1.0,1.0,0.9169780751580214,1.100186845094813,1,1
q_001,2,10,cw_s200_x254083.721_y3364052.517,0.8667851686477661,200.000,254083.72102534556,3364052.5166208195,5000,0.9305135607719421,1033,0.2066,2.0676157474517822,1,1033027.8975198603,0.3474398107216804,0.8962115200334889,0.33615859379390134,0.4406710805650129,0,0
q_001,3,2,cw_s200_x254083.721_y3365102.517,0.895331084728241,200.000,254083.72102534556,3365102.5166208195,5000,0.9631944298744202,703,0.1406,1.905838966369629,1,703021.7861053324,0.8916842997634021,0.9450253283939711,0.31257650845612495,0.6942196249790359,1,0
q_001,4,15,cw_s200_x255133.721_y3364052.517,0.8591166138648987,200.000,255133.72102534556,3364052.5166208195,5000,0.9094963669776917,545,0.109,2.075352668762207,1,545017.919611001,0.20123435465138742,0.8648191703707357,0.2651522557739382,0.3395850953249179,0,0
q_001,5,8,cw_s200_x254233.721_y3364052.517,0.8738009929656982,200.000,254233.72102534556,3364052.5166208195,5000,0.9256669878959656,529,0.1058,1.9536268711090088,1,529017.8830430078,0.4812005809262546,0.8889724322714352,0.27547563708707545,0.4577656146227471,0,0
q_001,6,9,cw_s200_x254983.721_y3365252.517,0.870688796043396,200.000,254983.72102534556,3365252.5166208195,5000,0.7174091935157776,430,0.086,1.8600457906723022,1,430013.91404614446,0.4218647369126815,0.5779079978289503,0.20607156288140843,0.39238883249391765,0,0
q_001,7,11,cw_s200_x255133.721_y3364202.517,0.8637987375259399,200.000,255133.72102534556,3364202.5166208195,5000,0.894919216632843,403,0.0806,2.0248639583587646,1,403014.98432820797,0.29050176482486983,0.8430459971682696,0.24525533570034563,0.36335390735015527,0,0
q_001,8,5,cw_s200_x254683.721_y3364052.517,0.8843994736671448,200.000,254683.72102534556,3364052.5166208195,5000,0.8324992060661316,340,0.068,1.5047752857208252,1,340013.6202167749,0.6832667783366326,0.7498122944748583,0.2507828689058765,0.573776432678179,1,0
q_001,9,7,cw_s200_x254983.721_y3364352.517,0.8773161172866821,200.000,254983.72102534556,3364352.5166208195,5000,0.8600571155548096,312,0.0624,2.221914052963257,1,312012.6186571026,0.5482184700911618,0.7909741897836291,0.21055941093657354,0.4456230345984088,0,0
q_001,10,4,cw_s300_x255108.721_y3364327.517,0.8891213536262512,300.000,255108.72102534556,3364327.5166208195,5000,0.8132883906364441,288,0.0576,1.5106961727142334,1,288012.38218773366,0.7732921654503428,0.7211180434164538,0.23782862415147862,0.6020140406710244,1,0
q_001,11,13,cw_s200_x254833.721_y3364952.517,0.8618755340576172,200.000,254833.72102534556,3364952.5166208195,5000,0.7518909573554993,220,0.044,1.8065636157989502,1,220010.11234595775,0.25383477239100244,0.6294117141690996,0.19206474370483417,0.3167727551793015,0,0
q_001,12,20,cw_s300_x254883.721_y3364327.517,0.8485617637634277,300.000,254883.72102534556,3364327.5166208195,5000,0.8475921750068665,216,0.0432,2.402761697769165,1,216010.3931600523,0.0,0.7723559205685683,0.18290743641010068,0.2097444618460604,0,0
q_001,13,12,cw_s300_x254208.721_y3364102.517,0.8620576858520508,300.000,254208.72102534556,3364102.5166208195,5000,0.877926766872406,187,0.0374,2.011991024017334,1,187010.5072766447,0.25730760227006705,0.8176652099076823,0.21254655960099053,0.3304509766686211,0,0
q_001,14,14,cw_s300_x255108.721_y3364102.517,0.860761821269989,300.000,255108.72102534556,3364102.5166208195,5000,0.6577076315879822,158,0.0316,2.2396891117095947,1,158007.49738720417,0.232601190489719,0.4887347082929051,0.12872785567288256,0.2702771895996171,0,0
q_001,15,18,cw_s300_x255108.721_y3365002.517,0.8545000553131104,300.000,255108.72102534556,3365002.5166208195,5000,0.8522652387619019,147,0.0294,1.9662985801696777,1,147009.49635380745,0.1132169814108144,0.7793358462822733,0.20246720958138614,0.26676711831315747,0,0
