query_id,flight_id,image_name,original_query_path,sanitized_query_path,has_metadata_removed,sanitization_method
q_017,DJI_202510311413_010_新建面状航线1,DJI_20251031142830_0259_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142830_0259_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142830_0259_V.JPG,1,pillow_reencode_without_metadata
q_018,DJI_202510311413_010_新建面状航线1,DJI_20251031143141_0283_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143141_0283_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143141_0283_V.JPG,1,pillow_reencode_without_metadata
q_019,DJI_202510311413_010_新建面状航线1,DJI_20251031143227_0292_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143227_0292_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143227_0292_V.JPG,1,pillow_reencode_without_metadata
q_020,DJI_202510311413_010_新建面状航线1,DJI_20251031143314_0307_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,1,pillow_reencode_without_metadata
q_021,DJI_202510311435_011_新建面状航线1,DJI_20251031143818_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,1,pillow_reencode_without_metadata
q_022,DJI_202510311435_011_新建面状航线1,DJI_20251031143823_0002_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143823_0002_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143823_0002_V.JPG,1,pillow_reencode_without_metadata
q_023,DJI_202510311435_011_新建面状航线1,DJI_20251031143829_0003_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143829_0003_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143829_0003_V.JPG,1,pillow_reencode_without_metadata
q_024,DJI_202510311435_011_新建面状航线1,DJI_20251031143834_0004_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143834_0004_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143834_0004_V.JPG,1,pillow_reencode_without_metadata
q_025,DJI_202510311435_011_新建面状航线1,DJI_20251031143839_0005_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143839_0005_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143839_0005_V.JPG,1,pillow_reencode_without_metadata
q_026,DJI_202510311435_011_新建面状航线1,DJI_20251031143905_0010_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143905_0010_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031143905_0010_V.JPG,1,pillow_reencode_without_metadata
q_027,DJI_202510311435_011_新建面状航线1,DJI_20251031144517_0086_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144517_0086_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031144517_0086_V.JPG,1,pillow_reencode_without_metadata
q_028,DJI_202510311435_011_新建面状航线1,DJI_20251031145140_0172_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145140_0172_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145140_0172_V.JPG,1,pillow_reencode_without_metadata
q_029,DJI_202510311435_011_新建面状航线1,DJI_20251031145456_0210_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145456_0210_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145456_0210_V.JPG,1,pillow_reencode_without_metadata
q_030,DJI_202510311435_011_新建面状航线1,DJI_20251031145833_0257_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311435_011_新建面状航线1/DJI_20251031145833_0257_V.JPG,1,pillow_reencode_without_metadata
q_031,DJI_202510311500_012_新建面状航线1,DJI_20251031150300_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150300_0001_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150300_0001_V.JPG,1,pillow_reencode_without_metadata
q_032,DJI_202510311500_012_新建面状航线1,DJI_20251031150301_0002_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150301_0002_V.JPG,1,pillow_reencode_without_metadata
q_033,DJI_202510311500_012_新建面状航线1,DJI_20251031150305_0003_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150305_0003_V.JPG,1,pillow_reencode_without_metadata
q_034,DJI_202510311500_012_新建面状航线1,DJI_20251031150306_0004_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150306_0004_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150306_0004_V.JPG,1,pillow_reencode_without_metadata
q_035,DJI_202510311500_012_新建面状航线1,DJI_20251031150310_0005_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150310_0005_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150310_0005_V.JPG,1,pillow_reencode_without_metadata
q_036,DJI_202510311500_012_新建面状航线1,DJI_20251031150413_0020_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150413_0020_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150413_0020_V.JPG,1,pillow_reencode_without_metadata
q_037,DJI_202510311500_012_新建面状航线1,DJI_20251031150549_0040_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150549_0040_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150549_0040_V.JPG,1,pillow_reencode_without_metadata
q_038,DJI_202510311500_012_新建面状航线1,DJI_20251031150736_0060_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150736_0060_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150736_0060_V.JPG,1,pillow_reencode_without_metadata
q_039,DJI_202510311500_012_新建面状航线1,DJI_20251031150842_0078_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031150842_0078_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031150842_0078_V.JPG,1,pillow_reencode_without_metadata
q_040,DJI_202510311500_012_新建面状航线1,DJI_20251031151150_0117_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311500_012_新建面状航线1/DJI_20251031151150_0117_V.JPG,1,pillow_reencode_without_metadata
