query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_strict_truth_hit
q_021,1,1,s200_x254324.835_y3365125.528,0.8680499196052551,200.0,254324.83531152448,3365125.5278006354,16,4,0.25,0.0,0,-1.0,1.0,0.28541666666666665,0.57125,0,0
q_021,2,2,s300_x254436.063_y3364791.491,0.8647066950798035,300.0,254436.06292971745,3364791.490741796,13,4,0.3076923076923077,0.0,0,-1.0,0.9190301518491412,0.2955128205128205,0.5449197530473487,0,0
q_021,3,3,s200_x254311.063_y3364966.491,0.8547872304916382,200.0,254311.06292971745,3364966.490741796,11,4,0.36363636363636365,0.0,0,-1.0,0.6787897685524024,0.3053030303030303,0.4546977256027791,0,0
q_021,4,4,s200_x254461.063_y3364816.491,0.8535041213035583,200.0,254461.06292971745,3364816.490741796,18,4,0.2222222222222222,0.0,0,-1.0,0.6477140345330845,0.28055555555555556,0.42741894714656714,0,0
q_021,5,5,s700_x255494.480_y3365960.735,0.8496196269989014,700.0,255494.479752744,3365960.7347813593,16,4,0.25,0.0,0,-1.0,0.553635126103068,0.28541666666666665,0.3927040504412272,0,0
q_021,6,6,s300_x254449.835_y3365175.528,0.8479315042495728,300.0,254449.83531152448,3365175.5278006354,14,4,0.2857142857142857,0.0,0,-1.0,0.5127503331038057,0.29166666666666663,0.38010013324152225,0,0
q_021,7,8,s500_x255394.480_y3365860.735,0.845218300819397,500.0,255394.479752744,3365860.7347813593,11,4,0.36363636363636365,0.0,0,-1.0,0.4470390211439716,0.3053030303030303,0.3619974266394068,0,0
q_021,8,9,s300_x254211.063_y3364791.491,0.8439446687698364,300.0,254211.06292971745,3364791.490741796,18,5,0.2777777777777778,0.758937656879425,0,-1.0,0.41619281477407405,0.28756828876284046,0.3390180991673339,0,0
q_021,9,10,s300_x254436.063_y3365016.491,0.8413911461830139,300.0,254436.06292971745,3365016.490741796,20,4,0.2,0.0,0,-1.0,0.3543488271714543,0.27666666666666667,0.30773953086858175,0,0
q_021,10,12,s200_x254311.063_y3364816.491,0.838268518447876,200.0,254311.06292971745,3364816.490741796,12,4,0.3333333333333333,0.0,0,-1.0,0.2787216320426373,0.3,0.29148865281705494,0,0
q_021,11,14,s700_x253341.241_y3364181.380,0.8361752033233643,700.0,253341.240806092,3364181.379625299,8,4,0.5,0.0,0,-1.0,0.22802344935306404,0.32916666666666666,0.28870937974122557,0,0
q_021,12,15,s500_x254311.063_y3364666.491,0.8349955081939697,500.0,254311.06292971745,3364666.490741796,22,6,0.2727272727272727,0.5765966773033142,0,-1.0,0.1994523094956599,0.33901285141009124,0.2831886346443187,0,0
q_021,13,11,s200_x255867.683_y3363412.726,0.8396146297454834,200.0,255867.68346681632,3363412.725988563,22,5,0.22727272727272727,1.2826781272888184,0,-1.0,0.31132321968105764,0.2481060606060606,0.27339292423605943,0,0
q_021,14,13,s300_x253696.869_y3365412.480,0.8370143175125122,300.0,253696.86911584332,3365412.480292981,20,4,0.2,0.0,0,-1.0,0.24834602953255755,0.27666666666666667,0.26533841181302303,0,0
q_021,15,17,s200_x255694.480_y3365710.735,0.832281231880188,200.0,255694.479752744,3365710.7347813593,7,4,0.5714285714285714,0.0,0,-1.0,0.13371501327362728,0.3416666666666667,0.2584860053094509,0,0
q_021,16,16,s200_x254474.835_y3365125.528,0.8335654735565186,200.0,254474.83531152448,3365125.5278006354,15,4,0.26666666666666666,0.0,0,-1.0,0.1648181751252658,0.28833333333333333,0.23892727005010633,0,0
q_021,17,18,s300_x254991.545_y3365997.637,0.8298206329345703,300.0,254991.5454075462,3365997.637183411,21,4,0.19047619047619047,0.0,0,-1.0,0.07412155149142448,0.27499999999999997,0.1946486205965698,0,0
q_021,18,7,s200_x254624.835_y3365125.528,0.8460954427719116,200.0,254624.83531152448,3365125.5278006354,3,0,0.0,,0,-1.0,0.4682825990613907,0.0,0.18731303962455628,0,0
q_021,19,19,s300_x255767.683_y3363312.726,0.8271704316139221,300.0,255767.68346681632,3363312.725988563,15,4,0.26666666666666666,0.0,0,-1.0,0.009936093150692842,0.28833333333333333,0.17697443726027712,0,0
