path,status,epsg,width,height,bands,res_x,res_y,error
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-26.tif,ok,32650,975,1120,3,0.5559458166065705,0.5559458166065705,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-27.tif,ok,32650,974,1120,3,0.5559438180644293,0.5559438180644293,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-28.tif,ok,32650,974,1120,3,0.5559418233225537,0.5559418233225537,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-29.tif,ok,32650,974,1120,3,0.5559398323820417,0.5559398323820417,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-30.tif,ok,32650,974,1120,3,0.5559378452425735,0.5559378452425735,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-31.tif,ok,32650,974,1120,3,0.5559358619051012,0.5559358619051012,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-32.tif,ok,32650,974,1120,3,0.5559338823668267,0.5559338823668267,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-33.tif,ok,32650,974,1120,3,0.555931906631116,0.555931906631116,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-34.tif,ok,32650,974,1120,3,0.5559299346959569,0.5559299346959569,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-35.tif,ok,32650,974,1120,3,0.5559279665604451,0.5559279665604451,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-36.tif,ok,32650,974,1120,3,0.5559260022274246,0.5559260022274246,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-37.tif,ok,32650,974,1120,3,0.5559240416937354,0.5559240416937354,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-38.tif,ok,32650,974,1120,3,0.5559220849615785,0.5559220849615785,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-39.tif,ok,32650,974,1120,3,0.5559201320290112,0.5559201320290112,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-40.tif,ok,32650,974,1120,3,0.5559181828984829,0.5559181828984829,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_03-41.tif,ok,32650,974,1119,3,0.5559162375679307,0.5559162375679307,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-13.tif,ok,32650,975,1121,3,0.5559854229942576,0.5559854229942576,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-14.tif,ok,32650,975,1121,3,0.5559833747476829,0.5559833747476829,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-15.tif,ok,32650,975,1121,3,0.5559813303027009,0.5559813303027009,
/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_04-16.tif,ok,32650,975,1121,3,0.5559792896613488,0.5559792896613488,
