query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,s300_x255992.683_y3363312.726,1,0.8528395891189575,300.0,5000,0.7480367422103882,28,0.0056,1.7321569919586182,0,-1.0,1.0,0.3547307921812477,0.06740103799953638,0.44044062279972185,0,0
q_001,s300_x253696.869_y3365187.480,2,0.8522045016288757,300.0,5000,0.9964792132377625,277,0.0554,2.527315855026245,1,277012.97747627733,0.9864958720840336,0.9919843616392331,0.3012702293454396,0.7253604864408773,1,0
q_001,s200_x253933.067_y3364978.442,3,0.844883918762207,200.0,5000,0.9968687295913696,438,0.0876,2.4640400409698486,1,438016.26464725495,0.830835291463566,0.9929834689402995,0.35851955224353976,0.6974458479315503,1,0
q_001,s200_x253810.673_y3365746.519,4,0.8315531015396118,200.0,5000,0.9049773216247559,147,0.0294,2.1921956539154053,1,147009.79757756233,0.5473766124473712,0.7572825137570272,0.2295492377503887,0.5066801876291818,1,0
q_001,s200_x256017.683_y3363412.726,5,0.8288542032241821,200.0,5000,0.9097355604171753,38,0.0076,2.1507434844970703,0,-1.0,0.4899888215477974,0.7694873700453413,0.09900595986417585,0.2553991045376245,0,0
q_001,s300_x253908.067_y3365028.442,6,0.8285549879074097,300.0,5000,0.9986146688461304,480,0.096,2.4880483150482178,1,480017.0980983734,0.4836264825390549,0.9974617935099763,0.37206491123771696,0.5166895397582522,0,0
q_001,s200_x253905.470_y3363310.367,7,0.8282754421234131,200.0,5000,0.794797420501709,61,0.0122,2.366741895675659,1,61006.80123230934,0.4776823849392536,0.47467167438305696,0.13479686185229853,0.3719510710870806,0,0
q_001,s200_x255717.683_y3363262.726,8,0.8261275291442871,200.0,5000,0.6991347670555115,28,0.0056,1.9543248414993286,0,-1.0,0.4320104230828701,0.22929749532131888,0.048735866488538504,0.20204568912627113,0,0
q_001,s200_x253783.067_y3364828.442,9,0.8257023692131042,200.0,5000,0.9996042251586914,1415,0.283,2.267512321472168,1,1415036.0285299302,0.4229700716586947,1.0,0.6957872585682443,0.6866603838044244,0,0
q_001,s200_x254188.610_y3365734.565,10,0.8210709095001221,200.0,5000,0.8223644495010376,107,0.0214,2.238990545272827,1,107008.12465394974,0.32448942863153946,0.5453809518931746,0.17128263558476714,0.3325653528034761,0,0
q_001,s500_x253783.067_y3364678.442,11,0.8196208477020264,500.0,5000,0.9964994192123413,659,0.1318,2.385026693344116,1,659020.7599674988,0.2936561650051076,0.9920361898527085,0.43620802503454875,0.4791872810227723,0,1
q_001,s300_x255992.683_y3363537.726,12,0.8195185661315918,300.0,5000,0.7132823467254639,12,0.0024,1.3378185033798218,0,-1.0,0.2914813096786132,0.2655859592324471,0.06669107960558551,0.1566071716347966,0,0
q_001,s300_x253908.067_y3364803.442,13,0.8132584095001221,300.0,5000,0.9978668093681335,402,0.0804,2.590197801589966,1,402015.42847029207,0.15836901059291422,0.9955435380690458,0.3401023257920047,0.3674089997123685,0,0
q_001,s200_x255353.340_y3364033.631,14,0.8110494613647461,200.0,5000,0.7595110535621643,87,0.0174,2.033752202987671,1,87007.30135833264,0.11139923297060396,0.38416233758390933,0.14369589995491064,0.23077723316118798,0,0
q_001,s500_x253783.067_y3365053.442,15,0.8082112073898315,500.0,5000,0.9992212057113647,715,0.143,2.459073781967163,1,715021.8331382752,0.05104826505859182,0.9990175572277501,0.4521539476613836,0.3917116746202669,0,1
q_001,s200_x255489.632_y3363424.598,16,0.8072782754898071,200.0,5000,0.8556281328201294,15,0.003,1.5760626792907715,0,-1.0,0.031210948292687873,0.6307021163492941,0.09713689810062792,0.0707665181774519,0,0
