query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_001,cw_s200_x253783.721_y3364952.517,ok,,5000,5000,1.000000,0.000000,4901,0.980200,6873610.880766,19.720252,2.027331,1.464220,0.000000,"[-0.7560830985320276, 3.0381356123109415, 0.008560874081374565]","[1801305.0021715192, -2853501.297433189, -5718.245422752662]",253728.087915,3364940.410669,392.023940,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,162,0.032400,34251.085090,12.514908,288.766080,4.745043,0.000000,"[-1.698049983132626, 1.4864688885544008, 0.9681525920741267]","[3318636.548587451, 542294.9468787239, 270345.5355849573]",254949.110850,3363854.932967,21.760287,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3365102.517,ok,,5000,5000,1.000000,0.000000,150,0.030000,150777.575236,15.440179,1265.097110,4.838039,0.000000,"[-0.10753447618744828, 1.164871447370762, -0.3471164386326674]","[-802011.8549543336, -3087251.915112077, 1102461.2821061164]",254469.102805,3365265.775274,137.408483,"{""ok"": 5000}"
q_001,cw_s200_x254233.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,33,0.006600,544.775548,17.938318,1738.841965,4.264862,0.000000,"[1.8792105835136614, 0.4831286588411655, -0.9318669004860739]","[-2397598.960682103, 1599793.8073755482, -1749293.3916115316]",254641.557322,3361994.347500,238.698453,"{""ok"": 5000}"
q_001,cw_s200_x254233.721_y3364652.517,ok,,5000,4998,0.999600,0.000000,48,0.009604,165125.262317,40.763213,537.420872,4.959782,0.000000,"[-0.8699831760968505, -2.404400770640008, 0.2897255292241131]","[-1594331.8433583532, -2740786.0791121023, 1154852.7823082923]",253903.295163,3364969.598334,161.240255,"{""ok"": 4998, ""unstable_local_height"": 2}"
q_001,cw_s200_x254683.721_y3364052.517,ok,,5000,4997,0.999400,0.000000,41,0.008205,69227.912424,41.918412,1633.368700,5.361313,0.000000,"[0.13085562509018606, 1.5911555097123606, -2.6031315589788835]","[-148982.53029656518, 1535890.3629706793, 3000695.903602916]",254603.939927,3364596.222533,19.661246,"{""ok"": 4997, ""unstable_local_height"": 3}"
q_001,cw_s200_x254833.721_y3364052.517,ok,,5000,4998,0.999600,0.000200,6,0.001200,339576.507011,47.464402,2171.573414,5.332963,0.000000,"[0.5619666229270112, 2.07206045990551, 0.10463164830507042]","[-1061633.1928552708, -3105929.918032771, -779275.7859930024]",255547.130648,3363901.322304,-18.870365,"{""ok"": 4998, ""unstable_local_height"": 1, ""nodata"": 1}"
q_001,cw_s200_x254833.721_y3364202.517,pnp_failed,solvePnPRansac did not converge,5000,4999,0.999800,0.000000,0,0.0,20846903.66608781,61.01166099999999,,,1.0,,,,,,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_001,cw_s200_x254983.721_y3364352.517,ok,,5000,5000,1.000000,0.000000,40,0.008000,267716.666110,41.623207,691.587072,5.349395,0.000000,"[1.056642142035274, -0.3831500572886804, -2.231397587332082]","[-1286938.8415325952, 2716167.725944186, -1532603.224639789]",255200.782473,3364152.776272,-2.654705,"{""ok"": 5000}"
q_001,cw_s200_x254983.721_y3365252.517,ok,,5000,5000,1.000000,0.000000,72,0.014400,74212.441928,18.860821,889.502741,4.817824,0.000000,"[2.7120994152934026, -0.9061928857336358, -1.2870297323529736]","[1546928.3115126586, 2930796.0802754154, -633500.1313740442]",255951.600760,3364277.630647,289.075250,"{""ok"": 5000}"
q_001,cw_s200_x255133.721_y3364052.517,ok,,5000,4998,0.999600,0.000400,30,0.006002,445402.446921,27.715351,1400925835.718489,4.433918,0.000000,"[1.214578994294116, -0.7038545259761807, -1.185605168415433]","[-1091178.5470600233, 503109.06168682856, -3152415.4672959037]",255006.469158,3363998.265070,35.454646,"{""ok"": 4998, ""nodata"": 2}"
q_001,cw_s200_x255133.721_y3364202.517,ok,,5000,5000,1.000000,0.000000,111,0.022200,274745.337940,29.027488,303.751063,5.317352,0.000000,"[2.3056798115633077, 0.36258044606342216, -0.3866574665158994]","[-1479177.694484211, 2229997.1918976125, -2054285.6290816108]",255021.770102,3363912.522926,91.955877,"{""ok"": 5000}"
q_001,cw_s300_x254208.721_y3364102.517,ok,,5000,5000,1.000000,0.000000,9,0.001800,26116.072691,21.355664,1981.226556,3.943205,0.000000,"[-0.11871491099370379, 2.5669242314742453, -0.8146149452519337]","[58355.107955535175, -2713566.736454601, 2003664.3257328502]",254438.892354,3364042.378137,458.461638,"{""ok"": 5000}"
q_001,cw_s300_x254658.721_y3364102.517,ok,,5000,4999,0.999800,0.000000,14,0.002801,39823.781103,39.589245,3038.784400,5.195861,0.000000,"[1.5983482367575894, 1.7172778684467187, -0.3539361271103129]","[-3184157.9800416837, -798680.840594711, -779339.418666502]",255021.336033,3364385.102732,234.877752,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_001,cw_s300_x254883.721_y3364102.517,ok,,5000,4999,0.999800,0.000200,9,0.001800,1238.749902,16.249137,2357.814261,4.745735,0.000000,"[0.3279547625512748, 2.5312457419458316, 1.7348478287489997]","[-233288.7467089828, -1215463.0508066025, -3137193.8980119596]",253881.962114,3362930.800644,18.319486,"{""ok"": 4999, ""nodata"": 1}"
q_001,cw_s300_x254883.721_y3364327.517,ok,,5000,5000,1.000000,0.000000,11,0.002200,6175.213636,13.520904,49541.219798,5.325907,0.000000,"[0.5789443457720441, -0.7477061426940427, -0.4375392081664026]","[-722703.9013067626, -2412986.4577773567, -2244717.588988906]",254895.956584,3364311.174644,13.387236,"{""ok"": 5000}"
q_001,cw_s300_x254883.721_y3365002.517,ok,,5000,4996,0.999200,0.000000,25,0.005004,12135321.542988,51.009261,1378.507528,4.473791,0.000000,"[-0.9994787918557501, -0.8192620717409905, -0.3479947326676241]","[-2203406.9362457474, -1770752.429579819, 1843488.8918256194]",254652.380286,3365140.376364,-20.538569,"{""ok"": 4996, ""unstable_local_height"": 4}"
q_001,cw_s300_x255108.721_y3364102.517,ok,,5000,4999,0.999800,0.000200,27,0.005401,2682.642092,21.553340,1626.719601,4.761586,1.000000,"[2.319476422395702, -0.3825690082807467, -1.5272711572672903]","[30692.416160488297, 3153542.7716026367, -1196755.4976938425]",256011.280806,3363399.457529,-266.819918,"{""ok"": 4999, ""nodata"": 1}"
q_001,cw_s300_x255108.721_y3364327.517,ok,,5000,5000,1.000000,0.000000,18,0.003600,79419.546136,16.818284,2679.885926,3.469364,0.000000,"[1.9733042584563667, 0.9477576819236403, -0.4824038539314694]","[-2759959.30358753, 1005071.5794992753, -1660356.5918933463]",255472.242587,3364381.396186,62.312146,"{""ok"": 5000}"
q_001,cw_s300_x255108.721_y3365002.517,ok,,5000,4999,0.999800,0.000000,23,0.004601,54096.467332,43.694471,531.080041,4.601530,0.000000,"[-0.1458995386573026, -2.9613680305681847, 0.5676949735257428]","[12624.877024161993, -3142738.8848205293, 1232084.8872560144]",256017.354127,3365925.417834,1204.597340,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_002,cw_s200_x253783.721_y3364802.517,ok,,5000,5000,1.000000,0.000000,4588,0.917600,6837343.635917,30.116266,3.341794,1.817739,0.000000,"[-0.7699320334057472, 3.039774657674412, 0.0015177136059425244]","[1824942.6331265413, -2838240.0268884106, 3542.5166054515644]",253822.107687,3364759.842514,392.063123,"{""ok"": 5000}"
q_002,cw_s200_x253933.721_y3364352.517,ok,,5000,5000,1.000000,0.000000,51,0.010200,45222.554532,34.686311,1968.790737,5.367602,0.000000,"[-1.1137142150852077, 0.46591099571387634, 0.1616617313583]","[962222.2931141884, -1458331.341777945, 2886687.172612366]",254310.607116,3364653.171406,166.001549,"{""ok"": 5000}"
q_002,cw_s200_x253933.721_y3364802.517,ok,,5000,5000,1.000000,0.000000,3851,0.770200,6595173.138406,30.707608,5.096101,2.319372,0.000000,"[-0.7695419267676852, 3.0392002988587947, 0.008956812324139451]","[1824549.4038936333, -2838472.0116468263, -10957.241498046107]",253822.774964,3364758.207462,391.814254,"{""ok"": 5000}"
q_002,cw_s200_x253933.721_y3364952.517,ok,,5000,5000,1.000000,0.000000,4330,0.866000,4487781.773203,18.597718,4.421654,2.590560,0.000000,"[0.7692970247620794, -3.0425948186468292, -0.021742788344996142]","[1822430.2479391617, -2839454.8480725577, -47344.72106500677]",253819.828083,3364754.479661,389.788474,"{""ok"": 5000}"
q_002,cw_s200_x254233.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,49,0.009800,56673.431076,14.407346,2372.591325,5.064126,0.000000,"[-1.3154161982996686, -0.33396156553282763, 1.7479917921090045]","[1654120.9921284327, 1695234.8754390927, 2402692.886864653]",254242.979052,3364257.890460,46.659055,"{""ok"": 5000}"
q_002,cw_s200_x254233.721_y3364952.517,ok,,5000,5000,1.000000,0.000000,84,0.016800,196237.227116,20.929849,1560.116934,4.530833,0.000000,"[-2.4763748112928936, 0.36429290545075965, 1.4468415118823572]","[1011041.172572242, 3176927.444669577, 519866.876251107]",255027.543620,3364564.572058,52.920914,"{""ok"": 5000}"
q_002,cw_s200_x254683.721_y3364202.517,ok,,5000,5000,1.000000,0.000000,78,0.015600,110811.147615,54.105111,857.612274,4.943896,0.000000,"[-2.303617477318369, 0.6871837365560196, 0.0693299161980209]","[1449735.548283902, 2130395.533090816, 2178179.344973627]",254981.679930,3364486.271088,144.226622,"{""ok"": 5000}"
q_002,cw_s200_x254683.721_y3364952.517,ok,,5000,4999,0.999800,0.000000,31,0.006201,60517.093426,42.120328,1152.027528,3.914972,0.000000,"[0.8957312877058335, -2.8489932180120254, -0.8312835187951666]","[1961164.3416049462, -2181447.4959696536, -1668051.7102228815]",255117.993466,3364846.195501,387.901292,"{""ok"": 4999, ""unstable_local_height"": 1}"
