query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_021,cw_s300_x254883.721_y3364102.517,1,0.9172788262367249,300.000,5000,1.0,4322,0.8644,1.5763176679611206,1,4322094.863682332,1.0,1.0,0.8190972380211614,1.041458342812697,1,1
q_021,cw_s300_x254883.721_y3364327.517,2,0.9172150492668152,300.000,5000,0.999801754951477,4247,0.8494,1.1252297163009644,1,4247093.812787834,0.9993993235372546,0.9985439173526439,0.8356201291312046,1.0511318068936248,1,0
q_021,cw_s300_x255108.721_y3364327.517,3,0.9109706878662109,300.000,5000,0.9996007680892944,3924,0.7848,1.6844558715820312,1,3924086.7915518093,0.9405874840357599,0.997067696460616,0.7603959722118718,0.982472576941427,1,0
q_021,cw_s200_x254983.721_y3364352.517,4,0.9044474363327026,200.000,5000,0.9990081787109375,4877,0.9754,1.0561118125915527,1,4877106.473969975,0.8791489481144653,0.9927152088839428,0.9204349359455416,1.0539205408131112,1,0
q_021,cw_s200_x254983.721_y3364202.517,5,0.8883681297302246,200.000,5000,1.0,4999,0.9998,0.7270485162734985,1,4999109.252951484,0.7277077456387802,1.0,0.9571329227380126,1.0153628518983195,1,1
q_021,cw_s500_x254758.721_y3364127.517,6,0.8850697875022888,500.000,5000,0.9996079206466675,3196,0.6392,1.7402325868606567,1,3196072.1758466195,0.6966426676771504,0.9971202310119337,0.66247004672588,0.7761390951063881,0,1
q_021,cw_s200_x254833.721_y3364052.517,7,0.8819048404693604,200.000,5000,1.0,4730,0.946,1.121261477470398,1,4730103.478738522,0.6668339578684406,1.0,0.8989427712871068,0.9060992459196403,0,0
q_021,cw_s300_x255108.721_y3364102.517,8,0.8776981830596924,300.000,5000,0.9998000264167786,4239,0.8478,1.6270595788955688,1,4239093.1509406855,0.6272140120415982,0.9985312215027421,0.8050238798593952,0.8338999327322764,0,1
q_021,cw_s200_x254833.721_y3364202.517,9,0.8626481890678406,200.000,5000,0.9998030066490173,4525,0.905,1.651326298713684,1,4525098.846703768,0.48546727857072686,0.9985531108991245,0.8407837278006735,0.7986571481086947,0,0
q_021,cw_s300_x254658.721_y3364102.517,10,0.8533786535263062,300.000,5000,0.9998062252998352,3704,0.7408,1.540692925453186,1,3704082.5373693276,0.3981631650597168,0.9985767514472175,0.7405606977346558,0.7036016846646802,0,0
q_021,cw_s200_x254833.721_y3364352.517,11,0.8487417101860046,200.000,5000,0.9935582876205444,4485,0.897,1.1570521593093872,1,4485098.478530717,0.3544906179388938,0.9526865075074062,0.8555183801635453,0.7551072752736846,0,0
q_021,cw_s300_x254883.721_y3365002.517,12,0.8421498537063599,300.000,5000,0.9022111296653748,230,0.046,2.2203633785247803,1,230011.40174791813,0.29240593378524415,0.28175418120304996,0.10549368300206859,0.2802585833153388,0,0
q_021,cw_s200_x254683.721_y3364052.517,13,0.8375603556632996,200.000,5000,0.9984303712844849,4364,0.8728,1.2559175491333008,1,4364096.008386164,0.249180245042314,0.9884712927133263,0.8411210561734878,0.7043447317210182,0,0
q_021,cw_s200_x254983.721_y3364052.517,14,0.8373132348060608,200.000,5000,1.0,4956,0.9912,0.6297328472137451,1,4956108.490267153,0.24685276409414342,1.0,0.9572733136517397,0.7731050938287012,0,1
q_021,cw_s200_x254833.721_y3363902.517,15,0.8352291584014893,200.000,5000,1.0,4852,0.9704,1.3077865839004517,1,4852105.732213416,0.22722411687928928,1.0,0.9038199548285256,0.7331816196488311,0,0
q_021,cw_s200_x254683.721_y3363902.517,16,0.8276941776275635,200.000,5000,0.9937157034873962,4425,0.885,0.8424012660980225,1,4425097.594755769,0.15625671901533972,0.9538427054243238,0.8664789657224038,0.682390067039578,0,0
q_021,cw_s500_x254008.721_y3364127.517,17,0.8131834268569946,500.000,5000,0.8687557578086853,169,0.0338,2.547050952911377,1,169009.52050662518,0.01958878924396166,0.036029070869547514,0.029178518714817685,0.12534262692647527,0,0
q_021,cw_s200_x254083.721_y3364052.517,18,0.8130952715873718,200.000,5000,0.8638504147529602,242,0.0484,2.198610305786133,1,242011.27989384174,0.018758508413680826,0.0,0.051984112862035095,0.13869387108269338,0,0
q_021,cw_s200_x254683.721_y3364202.517,19,0.81124347448349,200.000,5000,0.9978398680686951,4343,0.8686,1.7557157278060913,1,4343095.082682953,0.0013175585589378692,0.984134127714121,0.8080893542221206,0.5853806359568474,0,0
q_021,cw_s200_x255133.721_y3364202.517,20,0.8111035823822021,200.000,5000,0.9998008608818054,3877,0.7754,1.7385656833648682,1,3877085.7994429255,0.0,0.9985373505337292,0.7513925354853718,0.550835521291223,0,0
