subgroup,target_gsd_m,status,accepted,retrieval_top20_rows,matches_row_count,sampling_row_count,pnp_status_counts,best_pose_status_counts,validation_pipeline_status,layer2_horizontal_error_m_mean,layer3_tiepoint_xy_error_rmse_m,romav2_rerank_elapsed_seconds,domz_sampling_total_seconds,wrapper_elapsed_seconds,failure_reason
G04A_downsample_0p5m,0.5,ok,True,100,500000,500000,"{""ok"": 100}","{""ok"": 5, ""missing_pnp_rows"": 35}",ok,6.0390186,441.89850627736695,3720.387564713,21.74139142036438,5430.584408760071,
G04B_downsample_1p0m,1.0,failed,False,0,0,0,{},{},not_run,,,,,,romav2_rerank_timeout_or_cpu_fallback
