flight_id,query_count,best_success_count,best_failure_count,missing_pnp_rows_count,success_rate
DJI_202510311347_009_新建面状航线1,20,4,0,16,0.2
DJI_202510311413_010_新建面状航线1,20,1,0,19,0.05
