method,query_count,recall@1,recall@5,recall@10,mrr,top1_error_m_mean,feature_ms_mean,retrieval_ms_mean,total_ms_mean
pooler,20,0.5,0.8,0.9,0.601388888888889,370.2049917688713,2570.166416000575,1.2378849554806948,2571.4072410133667
cls,20,0.5,0.8,0.9,0.601388888888889,370.2049917688713,2041.7583448812366,1.152014418039471,2042.9131794837303
mean,20,0.35,0.6,0.85,0.465952380952381,299.3477645816316,1935.7330249040388,1.178338855970651,1936.9142689276487
gem,20,0.35,0.55,0.9,0.48859126984126977,292.1635939067188,1907.669461297337,1.1110416380688548,1908.7828632676974
