query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_200m_01,1,s120_x254391.063_y3364926.491,0.9828654527664185,120,254391.06292971745,3364926.490741796,0
q_200m_01,2,s120_x254481.063_y3364926.491,0.9808160662651062,120,254481.06292971745,3364926.490741796,0
q_200m_01,3,s120_x254494.835_y3365175.528,0.9803533554077148,120,254494.83531152448,3365175.5278006354,0
q_200m_01,4,s200_x254474.835_y3365125.528,0.9800529479980469,200,254474.83531152448,3365125.5278006354,0
q_200m_01,5,s200_x254716.545_y3365872.637,0.9796305894851685,200,254716.5454075462,3365872.637183411,0
q_200m_01,6,s120_x254494.835_y3365085.528,0.9795053005218506,120,254494.83531152448,3365085.5278006354,0
q_200m_01,7,s120_x254211.063_y3364476.491,0.9792519211769104,120,254211.06292971745,3364476.490741796,1
q_200m_01,8,s120_x254404.835_y3365175.528,0.9790115356445312,120,254404.83531152448,3365175.5278006354,0
q_200m_01,9,s200_x254161.063_y3364516.491,0.9787368774414062,200,254161.06292971745,3364516.490741796,1
q_200m_01,10,s120_x254662.800_y3365073.601,0.9783902168273926,120,254662.80039608278,3365073.6009922293,0
q_200m_02,1,s120_x254197.293_y3364227.454,0.9800523519515991,120,254197.29280875245,3364227.454095203,1
q_200m_02,2,s120_x254391.063_y3364926.491,0.9780501127243042,120,254391.06292971745,3364926.490741796,0
q_200m_02,3,s120_x254211.063_y3364566.491,0.9774794578552246,120,254211.06292971745,3364566.490741796,0
q_200m_02,4,s200_x254161.063_y3364516.491,0.9774675369262695,200,254161.06292971745,3364516.490741796,0
q_200m_02,5,s200_x255544.480_y3365710.735,0.976704478263855,200,255544.479752744,3365710.7347813593,0
q_200m_02,6,s120_x254197.293_y3364317.454,0.9766749739646912,120,254197.29280875245,3364317.454095203,1
q_200m_02,7,s80_x254161.063_y3364516.491,0.9764298796653748,80,254161.06292971745,3364516.490741796,0
q_200m_02,8,s120_x254211.063_y3364476.491,0.9764254093170166,120,254211.06292971745,3364476.490741796,0
q_200m_02,9,s120_x254766.545_y3365862.637,0.9763599634170532,120,254766.5454075462,3365862.637183411,0
q_200m_02,10,s120_x254494.835_y3365175.528,0.9760769605636597,120,254494.83531152448,3365175.5278006354,0
q_200m_03,1,s120_x254467.293_y3364137.454,0.9781891107559204,120,254467.29280875245,3364137.454095203,0
q_200m_03,2,s200_x254839.058_y3364804.565,0.9779950976371765,200,254839.0576404855,3364804.5652137767,0
q_200m_03,3,s120_x254739.058_y3364464.565,0.9770943522453308,120,254739.0576404855,3364464.5652137767,0
q_200m_03,4,s200_x254689.058_y3364504.565,0.9765253663063049,200,254689.0576404855,3364504.5652137767,0
q_200m_03,5,s200_x254716.545_y3366022.637,0.9755862951278687,200,254716.5454075462,3366022.637183411,0
q_200m_03,6,s120_x254829.058_y3364824.565,0.9753930568695068,120,254829.0576404855,3364824.5652137767,0
q_200m_03,7,s80_x254387.293_y3364387.454,0.9750449061393738,80,254387.29280875245,3364387.454095203,1
q_200m_03,8,s200_x254866.545_y3366022.637,0.9745856523513794,200,254866.5454075462,3366022.637183411,0
q_200m_03,9,s120_x254919.058_y3364824.565,0.9743525981903076,120,254919.0576404855,3364824.5652137767,0
q_200m_03,10,s120_x254404.835_y3365175.528,0.9737701416015625,120,254404.83531152448,3365175.5278006354,0
q_200m_04,1,s200_x254161.063_y3364816.491,0.9791228771209717,200,254161.06292971745,3364816.490741796,1
q_200m_04,2,s200_x254866.545_y3366022.637,0.9766109585762024,200,254866.5454075462,3366022.637183411,0
q_200m_04,3,s120_x254211.063_y3364836.491,0.9754877090454102,120,254211.06292971745,3364836.490741796,0
q_200m_04,4,s120_x254404.835_y3365175.528,0.9751639366149902,120,254404.83531152448,3365175.5278006354,0
q_200m_04,5,s120_x254856.545_y3366042.637,0.9749387502670288,120,254856.5454075462,3366042.637183411,0
q_200m_04,6,s200_x254488.610_y3366034.565,0.9747230410575867,200,254488.6099540508,3366034.565271766,0
q_200m_04,7,s200_x254716.545_y3365722.637,0.9742845892906189,200,254716.5454075462,3365722.637183411,0
q_200m_04,8,s80_x254341.063_y3364876.491,0.9733855128288269,80,254341.06292971745,3364876.490741796,0
q_200m_04,9,s120_x254766.545_y3365772.637,0.9727647304534912,120,254766.5454075462,3365772.637183411,0
q_200m_04,10,s120_x254121.063_y3364836.491,0.9723829030990601,120,254121.06292971745,3364836.490741796,1
q_200m_05,1,s120_x254467.293_y3364137.454,0.9839468002319336,120,254467.29280875245,3364137.454095203,1
q_200m_05,2,s200_x254447.293_y3364057.454,0.9802309274673462,200,254447.29280875245,3364057.454095203,1
q_200m_05,3,s200_x254839.058_y3364804.565,0.9790295362472534,200,254839.0576404855,3364804.5652137767,0
q_200m_05,4,s120_x254739.058_y3364464.565,0.9786429405212402,120,254739.0576404855,3364464.5652137767,0
q_200m_05,5,s120_x254467.293_y3364047.454,0.9778252840042114,120,254467.29280875245,3364047.454095203,0
q_200m_05,6,s120_x254404.835_y3365175.528,0.9775211215019226,120,254404.83531152448,3365175.5278006354,0
q_200m_05,7,s80_x254447.293_y3364147.454,0.9770296812057495,80,254447.29280875245,3364147.454095203,1
q_200m_05,8,s120_x254739.058_y3364554.565,0.9765099287033081,120,254739.0576404855,3364554.5652137767,0
q_200m_05,9,s120_x254829.058_y3364644.565,0.9759324193000793,120,254829.0576404855,3364644.5652137767,0
q_200m_05,10,s120_x254829.058_y3364824.565,0.9758864045143127,120,254829.0576404855,3364824.5652137767,0
