query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,promote_flag,is_truth_hit
q_200m_05,1,3,s200_x254597.293_y3364207.454,0.8484377861022949,200,254597.29280875245,3364207.454095203,6,4,0.6666666666666666,0.0,1,3067.6666666666665,1,1
q_200m_05,2,1,s120_x254467.293_y3364137.454,0.856103777885437,120,254467.29280875245,3364137.454095203,12,5,0.4166666666666667,0.7087569236755371,0,-1.0,0,0
q_200m_05,3,2,s200_x254689.058_y3364504.565,0.8495759963989258,200,254689.0576404855,3364504.5652137767,10,4,0.4,0.0,0,-1.0,0,0
