query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,keypoints_query,keypoints_candidate,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_031,s200_x254474.835_y3365575.528,1,0.7012434601783752,200.0,256,256,10,4,0.4,0.0,0,-1.0,1.0,0.34500000000000003,0.607,0,0
q_031,s300_x254449.835_y3365625.528,2,0.665481686592102,300.0,256,256,16,4,0.25,0.0,0,-1.0,0.7682296414874515,0.31875000000000003,0.4985418565949806,0,0
q_031,s300_x256033.727_y3365139.824,3,0.6644482612609863,300.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.7615320609295182,0.325,0.4996128243718073,0,0
q_031,s200_x253633.067_y3364528.442,4,0.659386157989502,200.0,256,256,22,5,0.22727272727272727,0.8023189306259155,0,-1.0,0.7287248097111442,0.3200483062044084,0.4835189076071027,0,0
q_031,s300_x254752.800_y3365613.601,5,0.6543818116188049,300.0,256,256,10,4,0.4,0.0,0,-1.0,0.6962918782274937,0.34500000000000003,0.48551675129099753,0,0
q_031,s200_x253783.067_y3364528.442,6,0.6274967789649963,200.0,256,256,16,5,0.3125,0.6681421995162964,0,-1.0,0.5220512566944902,0.34244261903805207,0.4142860741006273,0,0
q_031,s200_x255530.764_y3365401.700,7,0.6252713203430176,200.0,256,256,15,4,0.26666666666666666,0.0,0,-1.0,0.507628164913918,0.32166666666666666,0.39605126596556717,0,0
q_031,s200_x255394.480_y3365710.735,8,0.6205763220787048,200.0,256,256,23,4,0.17391304347826086,0.0,0,-1.0,0.47720010383606265,0.30543478260869567,0.3741409110996424,0,0
q_031,s200_x255530.764_y3365551.700,9,0.6171402931213379,200.0,256,256,19,4,0.21052631578947367,0.0,0,-1.0,0.4549313631264544,0.3118421052631579,0.3690778084084765,0,0
q_031,s300_x253683.067_y3364578.442,10,0.6170181632041931,300.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.454139844925785,0.3386363636363637,0.3848377561521322,0,0
q_031,s500_x254852.800_y3365638.601,11,0.5958443284034729,500.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.31691322580944226,0.325,0.3217652903237769,0,0
q_031,s300_x255505.764_y3365376.700,12,0.5948466062545776,300.0,256,256,15,5,0.3333333333333333,1.1247755289077759,0,-1.0,0.31044703588215844,0.32063390989710966,0.3165591602911292,0,0
q_031,s200_x254675.317_y3364045.530,13,0.5943140983581543,200.0,256,256,13,4,0.3076923076923077,0.0,0,-1.0,0.30699587746108464,0.32884615384615384,0.32010604329212616,0,0
q_031,s200_x255908.727_y3365089.824,14,0.594265878200531,200.0,256,256,23,4,0.17391304347826086,0.0,0,-1.0,0.30668336490650117,0.30543478260869567,0.30593421552781785,0,0
q_031,s300_x255519.480_y3365760.735,15,0.5906379222869873,300.0,256,256,16,4,0.25,0.0,0,-1.0,0.2831707546965731,0.31875000000000003,0.30451830187862927,0,0
q_031,s200_x255544.480_y3365710.735,16,0.5822648406028748,200.0,256,256,20,4,0.2,0.0,0,-1.0,0.2289052094181781,0.31,0.27756208376727126,0,0
q_031,s300_x255267.051_y3364542.665,17,0.5797184705734253,300.0,256,256,14,4,0.2857142857142857,0.0,0,-1.0,0.21240230602589102,0.325,0.2799609224103564,0,1
q_031,s300_x254950.317_y3364170.530,18,0.5777807235717773,300.0,256,256,9,4,0.4444444444444444,0.0,0,-1.0,0.19984385961117104,0.3527777777777778,0.2916042105111351,0,1
q_031,s500_x253783.067_y3364678.442,19,0.5772054195404053,500.0,256,256,20,4,0.2,0.0,0,-1.0,0.19611534146921847,0.31,0.2644461365876874,0,0
q_031,s300_x254725.317_y3364170.530,20,0.5768032670021057,300.0,256,256,21,5,0.23809523809523808,0.9772858619689941,0,-1.0,0.19350900994168493,0.31218889887834117,0.2647169433036787,0,1
q_031,s200_x254702.800_y3365563.601,21,0.5764651298522949,200.0,256,256,8,4,0.5,0.0,0,-1.0,0.19131755911084192,0.3625,0.29402702364433675,0,0
q_031,s700_x254952.800_y3365363.601,22,0.5762823820114136,700.0,256,256,21,5,0.23809523809523808,1.309159517288208,0,-1.0,0.19013317902140692,0.2936889526158253,0.2522666431780579,0,0
q_031,s200_x254989.058_y3364654.565,23,0.5730972290039062,200.0,256,256,24,5,0.20833333333333334,0.9598926305770874,0,-1.0,0.16949035344435964,0.3079501328514946,0.2525662210886406,0,1
q_031,s200_x254611.063_y3364816.491,24,0.5724464058876038,200.0,256,256,11,4,0.36363636363636365,0.0,0,-1.0,0.16527239969467253,0.3386363636363637,0.2692907780596872,0,0
q_031,s300_x255505.764_y3365601.700,25,0.5721390843391418,300.0,256,256,12,5,0.4166666666666667,1.2977051734924316,0,-1.0,0.16328066331465727,0.32557746290821477,0.2606587430707918,0,0
q_031,s200_x254825.317_y3364195.530,26,0.5719937086105347,200.0,256,256,13,4,0.3076923076923077,0.0,0,-1.0,0.16233849011239634,0.32884615384615384,0.26224308835265087,0,1
