query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_002,cw_s300_x254658.721_y3365002.517,ok,,applicable_success,,5000,4989,0.997800,0.000000,32.000000,0.006414,860241.780714,0.058414,0.006998,54.882564,0.647184,5.554671,0.922124,0.000000,"[0.93251054607086, 2.355180564495865, -0.06038662175354528]","[-1995415.688357144, -2686772.6175729306, -431890.3290678136]",254985.620119,3364809.419531,167.298564,"{""ok"": 4989, ""unstable_local_height"": 11}",-0.009567,12
q_002,cw_s500_x254758.721_y3364877.517,ok,,applicable_success,,5000,4998,0.999600,0.000200,7.000000,0.001401,74703.616643,0.005073,0.001531,33.882142,0.399544,4.118327,0.572934,0.000000,"[-0.9061401005960308, 2.368197525087924, 0.5046415548165586]","[2503292.6650254466, -2238433.357998827, -334169.86383865634]",255108.087600,3365062.765486,104.154374,"{""ok"": 4998, ""unstable_local_height"": 1, ""nodata"": 1}",-0.015344,13
q_002,cw_s300_x255108.721_y3365227.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,8.000000,0.001600,637.441406,0.000043,0.001749,41.507797,0.489466,4.513046,0.668894,0.000000,"[0.9441199086429246, 0.5805613279698931, -0.9861090134805038]","[-3109960.4977754676, -652750.6996744986, -1136290.7647638996]",255263.109690,3365105.528839,18.506444,"{""ok"": 5000}",-0.017102,14
q_002,cw_s300_x254208.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,7.000000,0.001400,267.778567,0.000018,0.001531,18.550501,0.218750,3.625903,0.453221,0.000000,"[0.4829868359544302, -1.3256493405819434, 1.799574412016884]","[2827655.5111343274, 235926.69629623354, 1824715.5931145642]",254188.680929,3363966.736742,-2.950772,"{""ok"": 5000}",-0.022716,15
q_002,cw_s200_x254233.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,73.000000,0.014600,21621.648643,0.001468,0.015963,20.832347,0.245658,4.126934,0.575027,0.000000,"[-1.2715386899105976, 0.31923134877036374, -1.6439822801301822]","[-1814860.8206200772, 1794911.163847554, 2210389.511152623]",251721.648198,3367177.286447,1004.393665,"{""ok"": 5000}",-0.024997,16
q_002,cw_s200_x253933.721_y3364352.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,33.000000,0.006600,17329.022384,0.001177,0.007216,26.810112,0.316149,4.324618,0.623086,0.000000,"[1.2346195714751391, -0.5369631367277499, 0.5843702760774548]","[2073891.2142706315, -780586.6262063236, -2543933.904618526]",253817.527373,3364151.693650,74.938091,"{""ok"": 5000}",-0.026976,17
q_002,cw_s200_x254233.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,81.000000,0.016200,57109.047790,0.003878,0.017713,16.334783,0.192622,4.723848,0.720142,0.000000,"[-1.0894892056467593, -0.825033491879766, 1.207814787912102]","[970684.8089747876, -267156.14342819434, 3220263.567224674]",254021.572476,3364397.698094,124.555728,"{""ok"": 5000}",-0.043380,18
q_002,cw_s300_x254208.721_y3365002.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,65.000000,0.013000,63794.310292,0.004332,0.014214,19.087879,0.225087,4.811636,0.741485,0.000000,"[-2.447200189257565, -0.580120031896721, 1.3737624060936993]","[-821690.0613384445, 2847384.622537748, 1614210.7269456445]",255142.221386,3365018.939266,-42.395189,"{""ok"": 5000}",-0.043814,19
q_002,cw_s300_x254658.721_y3365227.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,16.000000,0.003200,233047.914428,0.015825,0.003499,20.562293,0.242474,5.143289,0.822113,0.000000,"[-0.11242704484577212, 1.3710102825489758, -2.736475329678812]","[126840.35159951077, 2034736.0685875197, 2690005.9886677694]",254637.202535,3365639.828827,-19.197607,"{""ok"": 5000}",-0.052348,20
q_003,cw_s500_x254008.721_y3364502.517,ok,,applicable_success,,5000,4997,0.999400,0.000200,3538.000000,0.708025,16648140.390993,1.000000,0.931053,83.242032,0.962373,2.686275,0.172729,0.000000,"[-0.7754183482026977, 3.0419858777736435, 0.013046081283878448]","[1833578.397400628, -2832428.7718666587, -23701.858107753073]",253886.319063,3364634.578786,391.690183,"{""ok"": 4997, ""unstable_local_height"": 2, ""nodata"": 1}",0.727582,1
q_003,cw_s300_x253983.721_y3364552.517,ok,,applicable_success,,5000,4996,0.999200,0.000400,3292.000000,0.658927,10424275.249489,0.626153,0.866316,85.441630,0.987803,2.417061,0.103376,0.000000,"[-0.7739951709168039, 3.0376448998587344, 0.01060827430415396]","[1833057.1668650247, -2832832.852666914, -13850.472320138617]",253887.826678,3364635.671463,391.801079,"{""ok"": 4996, ""unstable_local_height"": 2, ""nodata"": 2}",0.615922,2
q_003,cw_s200_x254083.721_y3364652.517,ok,,applicable_success,,5000,4988,0.997600,0.000800,3800.000000,0.761828,4683528.464035,0.281324,1.000000,86.496666,1.000000,2.572268,0.143359,0.000000,"[0.7728377440858346, -3.0407097115831485, -0.009006557356552576]","[1829565.9252385197, -2835032.649705915, -22480.47166975611]",253883.786143,3364635.172243,390.044564,"{""ok"": 4988, ""unstable_local_height"": 8, ""nodata"": 4}",0.584544,3
q_003,cw_s200_x253933.721_y3364802.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3739.000000,0.747800,5261307.372074,0.316030,0.983947,30.860635,0.356784,2.717337,0.180730,0.000000,"[-0.7760364818625171, 3.039775843069957, 0.030140741127134194]","[1835623.316853848, -2830634.4410579833, -56535.206307673965]",253888.332733,3364630.899884,389.723385,"{""ok"": 5000}",0.517742,4
q_003,cw_s200_x253933.721_y3364502.517,ok,,applicable_success,,5000,4996,0.999200,0.000800,3293.000000,0.659127,4481594.798732,0.269195,0.866579,46.233981,0.534517,3.037632,0.263241,0.000000,"[-0.7788849472761148, 3.036542365133446, 0.01719755897253551]","[1842120.141110494, -2826846.819821015, -27423.484729668646]",253887.668590,3364634.081502,392.254520,"{""ok"": 4996, ""nodata"": 4}",0.465480,5
q_003,cw_s200_x253933.721_y3364652.517,ok,,applicable_success,,5000,4998,0.999600,0.000400,2525.000000,0.505202,6927861.340757,0.416134,0.664474,52.694393,0.609207,2.471490,0.117398,0.000000,"[-0.7721078386312049, 3.0363398999485125, 0.010045750350167184]","[1830334.0877014243, -2834606.4714109735, -10865.405482558523]",253888.422784,3364635.982178,391.932419,"{""ok"": 4998, ""nodata"": 2}",0.437670,6
q_003,cw_s200_x253933.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3607.000000,0.721400,1565654.940401,0.094044,0.949211,16.718741,0.193288,3.186627,0.301624,0.000000,"[0.7658818625230875, -3.0334767930407223, -0.04899070555059838]","[1819503.808131593, -2839322.08757567, -113221.85860685482]",253882.145255,3364625.822095,384.286814,"{""ok"": 5000}",0.418939,7
q_003,cw_s300_x253983.721_y3364327.517,ok,,applicable_success,,5000,4997,0.999400,0.000600,2909.000000,0.582149,1364974.228085,0.081990,0.765526,29.015468,0.335452,2.015770,0.000000,0.000000,"[-0.7787016175228196, 3.0404597689405684, -0.013704191062930174]","[1839915.4913520704, -2828247.4970733207, 31510.121004396755]",253884.444258,3364640.894010,388.666825,"{""ok"": 4997, ""nodata"": 3}",0.381793,8
q_003,cw_s200_x253933.721_y3364352.517,ok,,applicable_success,,5000,4997,0.999400,0.000600,2692.000000,0.538723,786782.343985,0.047259,0.708421,22.940812,0.265222,3.148037,0.291683,0.000000,"[0.7662611775265806, -3.0437911654949734, -0.032125738684596124]","[1816466.491129141, -2842715.4796435228, -67965.09421579429]",253886.936473,3364631.083922,397.772937,"{""ok"": 4997, ""nodata"": 3}",0.312470,9
