query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_004,cw_s700_x254783.721_y3364902.517,ok,,5000,4999,0.999800,0.000200,6,0.001200,2330.645125,33.322033,738.738313,3.010507,0.000000,"[1.6447684144323713, 2.3153048512349566, 0.1557057958746353]","[-2966882.894965455, -1382664.0212452833, -817685.1677312196]",254895.659970,3364192.467721,429.266584,"{""ok"": 4999, ""nodata"": 1}"
q_021,cw_s200_x254233.721_y3364652.517,ok,,5000,4985,0.997000,0.001200,108,0.021665,310555.146976,59.815967,357.064339,4.966312,0.000000,"[-0.5051529810773102, 3.0888474791533413, 0.21952588557105762]","[1308312.6362638318, -3076988.5149299256, -454269.4230048407]",253900.136365,3364734.102134,355.788887,"{""ok"": 4985, ""nodata"": 6, ""unstable_local_height"": 9}"
q_021,cw_s200_x254683.721_y3364052.517,ok,,5000,4997,0.999400,0.000600,4718,0.944166,2022186.284100,18.184228,3.008686,2.096593,0.000000,"[-3.0540492632691834, -0.7168466703165278, 0.01307699736839512]","[-1725051.0022782243, 2899316.301132492, 23391.57837638087]",254996.629896,3364128.372607,389.579868,"{""ok"": 4997, ""nodata"": 3}"
q_021,cw_s200_x254683.721_y3364202.517,ok,,5000,4998,0.999600,0.000000,4255,0.851341,1740252.648596,36.642299,5.390486,3.277694,0.000000,"[3.04694501215926, 0.716461145669655, -0.038827446184371936]","[-1727586.7682623877, 2897876.355948881, -10718.613628202755]",255003.124058,3364124.189879,383.026657,"{""ok"": 4998, ""unstable_local_height"": 2}"
q_021,cw_s200_x254833.721_y3363902.517,ok,,5000,5000,1.000000,0.000000,4575,0.915000,3231885.137440,14.207649,3.810878,3.034184,0.000000,"[-3.0254369573025315, -0.7167628742133518, 0.019847593616298384]","[-1736018.9583801804, 2890485.9328194084, 117415.16698828255]",254994.788651,3364139.501095,384.775345,"{""ok"": 5000}"
q_021,cw_s200_x254833.721_y3364052.517,ok,,5000,4997,0.999400,0.000200,4803,0.961177,5369854.008637,65.979747,2.626567,1.684075,0.000000,"[-3.0396101797129416, -0.7206014286907355, 0.0034886190525009434]","[-1737863.207389967, 2891139.431569375, 59673.38482272165]",254992.400794,3364133.674034,389.871306,"{""ok"": 4997, ""unstable_local_height"": 2, ""nodata"": 1}"
q_021,cw_s200_x254833.721_y3364202.517,ok,,5000,4999,0.999800,0.000000,4847,0.969594,4670485.186676,61.781910,2.959693,1.897548,0.000000,"[-3.0483007716894917, -0.7206853713394794, 0.005583116534253029]","[-1734403.5771127762, 2893630.9070591093, 33781.09332879705]",254993.653662,3364130.621946,389.783299,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_021,cw_s200_x254833.721_y3364352.517,ok,,5000,5000,1.000000,0.000000,4324,0.864800,872086.224978,13.050640,12.897804,1.779353,0.000000,"[3.0551859311068137, 0.7223618305817728, -0.0008971027446947517]","[-1734584.6912796875, 2893708.0482129105, -6007.034043048427]",254993.701403,3364126.107181,388.842476,"{""ok"": 5000}"
q_021,cw_s200_x254983.721_y3364052.517,ok,,5000,4996,0.999200,0.000800,4935,0.987790,6449472.352300,15.271139,1.003639,0.798460,0.000000,"[-3.0451105262347804, -0.7211826097790747, -0.011214885038747005]","[-1736815.5687853254, 2892199.7610600977, 32363.437650218344]",254989.528595,3364130.698541,391.649515,"{""ok"": 4996, ""nodata"": 4}"
q_021,cw_s200_x254983.721_y3364202.517,ok,,5000,5000,1.000000,0.000000,4956,0.991200,6495744.009108,15.220316,1.833090,1.755011,0.000000,"[-3.0487047354488386, -0.7217629173717856, 0.006620019628010377]","[-1736164.8400357175, 2892590.187780797, 32391.92391810568]",254994.220371,3364130.404342,391.297845,"{""ok"": 5000}"
q_021,cw_s200_x254983.721_y3364352.517,ok,,5000,4999,0.999800,0.000000,4756,0.951390,2738511.478227,15.129635,3.003137,1.650883,0.000000,"[-3.055287480839208, -0.7206512093544379, -0.011132763271856834]","[-1731473.2121293515, 2895577.908986407, 1016.4810683092503]",254990.316966,3364127.187065,389.961751,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_021,cw_s300_x254658.721_y3364102.517,ok,,5000,4997,0.999400,0.000600,4328,0.866120,4047694.500336,40.418579,5.001568,3.310766,0.000000,"[3.0575469947638645, 0.7198528245750042, -0.03679330880319735]","[-1728818.2774137247, 2897070.837051326, 23505.69105997182]",255001.918498,3364128.187499,385.175020,"{""ok"": 4997, ""nodata"": 3}"
q_021,cw_s300_x254883.721_y3364102.517,ok,,5000,5000,1.000000,0.000000,4900,0.980000,12510775.267530,63.696207,1.878001,1.435281,0.000000,"[-3.0459718015504844, -0.7202211586385329, -0.009671960453939378]","[-1734704.5799751433, 2893476.679442321, 31419.701004120427]",254990.022879,3364130.557290,391.938065,"{""ok"": 5000}"
q_021,cw_s300_x254883.721_y3364327.517,ok,,5000,5000,1.000000,0.000000,4721,0.944200,5475004.832683,18.127438,2.951314,2.487107,0.000000,"[-3.0315129709190876, -0.7186819220997878, -0.005517967562286376]","[-1737946.7984395113, 2890587.151869646, 80497.25820024058]",254989.918834,3364136.286136,393.614270,"{""ok"": 5000}"
q_021,cw_s300_x254883.721_y3365002.517,pnp_failed,solvePnPRansac did not converge,5000,4989,0.997800,0.000000,0,0.0,20806147.256183438,51.389759999999995,,,1.0,,,,,,"{""ok"": 4989, ""unstable_local_height"": 11}"
q_021,cw_s300_x255108.721_y3364102.517,ok,,5000,4998,0.999600,0.000400,4692,0.938776,11651154.023438,35.476576,3.711546,2.259319,0.000000,"[-3.0498649439185375, -0.7239048271671858, -0.01614724987769384]","[-1739664.1991349515, 2890639.735764729, 12175.379558260342]",254988.748701,3364128.183109,391.472003,"{""ok"": 4998, ""nodata"": 2}"
q_021,cw_s300_x255108.721_y3364327.517,ok,,5000,4998,0.999600,0.000000,4527,0.905762,7012188.183964,39.124627,3.933945,2.309479,0.000000,"[-3.053007035911718, -0.722654870183317, -0.023525496486022316]","[-1736021.4277499665, 2892852.6900822446, -1655.676874676259]",254987.459352,3364127.088731,389.652329,"{""ok"": 4998, ""unstable_local_height"": 2}"
q_021,cw_s300_x255108.721_y3365002.517,ok,,5000,4992,0.998400,0.000000,9,0.001803,81410.569211,43.654073,1622.152280,3.639940,0.000000,"[0.5646774983850164, 1.1724443958962492, -1.8673850694524678]","[-2671379.652685078, 815496.1753751151, 1894255.6752926619]",255371.960985,3365158.686553,8.256920,"{""ok"": 4992, ""unstable_local_height"": 8}"
q_021,cw_s500_x254008.721_y3364127.517,ok,,5000,5000,1.000000,0.000000,8,0.001600,143825.529378,27.585258,1679.469391,3.201702,0.000000,"[0.37391812575229566, -2.5109046551818737, 1.516786847364167]","[1273941.707360298, -1472544.01290177, 2755812.191317269]",253511.829829,3364750.500304,18.346935,"{""ok"": 5000}"
q_021,cw_s500_x254008.721_y3364502.517,ok,,5000,4998,0.999600,0.000200,14,0.002801,836371.486605,72.883840,2628.696085,5.062239,1.000000,"[-1.7269369517620654, -1.6359366823315384, -1.8210263621144134]","[-2320589.864896323, 1196554.9273372625, -2136621.3691780367]",253405.970158,3364196.377379,-197.836420,"{""ok"": 4998, ""unstable_local_height"": 1, ""nodata"": 1}"
q_021,cw_s500_x254758.721_y3364127.517,ok,,5000,4999,0.999800,0.000000,4724,0.944989,14649584.464276,66.939294,3.144789,1.805757,0.000000,"[-3.044352654895797, -0.7209721468666935, -0.0020555516866787487]","[-1736658.4643915063, 2892186.747803327, 40942.84999658411]",254991.642743,3364131.720373,391.393719,"{""ok"": 4999, ""unstable_local_height"": 1}"
