query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,1,2,cw_s200_x253783.721_y3364952.517,0.8875207901000977,200.000,253783.72102534556,3364952.5166208195,5000,1.0,2655,0.531,1.8049861192703247,1,2655061.295013881,0.9784449731315836,1.0,0.7761368557227064,1.0070601026862571,1,1
q_001,2,14,cw_s200_x254083.721_y3364052.517,0.8563501834869385,200.000,254083.72102534556,3364052.5166208195,5000,0.8478427529335022,239,0.0478,2.313178300857544,1,239010.94524922848,0.32154924871436075,0.8213023627862867,0.22558802853211124,0.36397251660501106,0,0
q_001,3,6,cw_s200_x254683.721_y3364052.517,0.876128613948822,200.000,254683.72102534556,3364052.5166208195,5000,0.7574110627174377,154,0.0308,2.0012130737304688,1,154008.65289755343,0.7383639282403511,0.7150969096619226,0.20571742098377027,0.5187760238864026,0,0
q_001,4,17,cw_s200_x255133.721_y3364052.517,0.8482683897018433,200.000,255133.72102534556,3364052.5166208195,5000,0.8953099846839905,153,0.0306,1.4458457231521606,1,153010.56725412369,0.15123187732225268,0.8770491794671968,0.27071049271278974,0.3229190465565749,0,0
q_001,5,3,cw_s200_x254083.721_y3365102.517,0.8872108459472656,200.000,254083.72102534556,3365102.5166208195,5000,0.9669806361198425,144,0.0288,2.1982743740081787,1,144010.3515319872,0.9719131468078211,0.961221154946992,0.2412960740476266,0.6835429031517045,1,0
q_001,6,12,cw_s200_x254983.721_y3365252.517,0.8615201711654663,200.000,254983.72102534556,3365252.5166208195,5000,0.9040656089782715,130,0.026,2.166764974594116,1,130009.4738911152,0.4305026240356135,0.8873320243785221,0.22557015135267575,0.4075431404258508,0,0
q_001,7,8,cw_s200_x254233.721_y3364052.517,0.8690857291221619,200.000,254233.72102534556,3364052.5166208195,5000,0.8748266696929932,92,0.0184,2.348398208618164,1,92008.23986848831,0.5899407362373164,0.8529930134825706,0.2003489701802445,0.4561856766030732,0,0
q_001,8,7,cw_s200_x255133.721_y3364202.517,0.870297908782959,200.000,255133.72102534556,3364202.5166208195,5000,0.9294009804725647,91,0.0182,1.9866406917572021,1,91009.12736911298,0.6154864577654622,0.9170865783760931,0.23433456027758678,0.4867953192727369,0,0
q_001,9,4,cw_s300_x255108.721_y3364327.517,0.8848994970321655,300.000,255108.72102534556,3364327.5166208195,5000,0.6859930753707886,81,0.0162,2.184077024459839,1,81006.29585372924,0.9232033081188089,0.6312216698067512,0.1634932309398083,0.6173772618114086,1,0
q_001,10,11,cw_s200_x254833.721_y3364052.517,0.8640314936637878,200.000,254833.72102534556,3364052.5166208195,5000,0.6491002440452576,80,0.016,2.4114999771118164,1,80005.67950246335,0.48342674682389947,0.5878937185254346,0.14119403832429098,0.3780871217241344,0,0
q_001,11,9,cw_s200_x254983.721_y3364352.517,0.8683090806007385,200.000,254983.72102534556,3364352.5166208195,5000,0.7708532214164734,76,0.0152,2.1768875122070312,1,76007.05164470196,0.5735734868145037,0.7308837489014605,0.18284700616034666,0.4391375984220095,0,0
