query_id,best_candidate_id,pred_valid_ratio,common_valid_ratio,ortho_iou,center_offset_m,horizontal_error_m,view_dir_angle_error_deg,dsm_valid_ratio_on_pred_grid,iou_alpha_vs_dsm_valid,alpha_outside_dsm_valid_ratio,dsm_valid_but_alpha_empty_ratio,truth_patch_area_m2,footprint_area_m2,truth_to_footprint_area_ratio,satellite_truth_patch_area_m2,satellite_truth_to_footprint_area_ratio,satellite_common_valid_ratio,satellite_ortho_iou,satellite_center_offset_m,truth_patch_is_large_context,pose_is_geometrically_plausible,pred_holes_match_water_or_low_height_regions,camera_center_inside_truth_bbox,diagnosis_primary,diagnosis_secondary,pred_crop_path,dsm_raster_path
q_028,s500_x254839.058_y3364654.565,0.713552,0.713552,0.713552,3.429440,3.186416,0.207038,0.975383,0.731561,0.000000,0.261831,287161.399,75042.303,3.826660,287161.399,3.826660,0.775898,0.784020,29.340631,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_028_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254839.058_y3364654.565.tif
q_029,s300_x255253.340_y3364158.631,0.646841,0.646841,0.651111,7.739097,1.725496,0.512566,0.898394,0.719997,0.000000,0.251553,286506.398,75030.549,3.818530,286506.398,3.818530,0.689121,0.703969,21.938443,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_029_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x255253.340_y3364158.631.tif
q_030,s500_x254825.317_y3364045.530,0.567903,0.567903,0.567903,37.038178,4.315186,0.447648,0.687091,0.826532,0.000000,0.119188,286539.568,75042.982,3.818339,286539.568,3.818339,0.783476,0.786342,20.116304,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_030_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254825.317_y3364045.530.tif
q_031,s300_x255267.051_y3364542.665,0.573682,0.573682,0.573682,25.203638,16.635333,1.912726,0.758091,0.756745,0.000000,0.184409,286335.775,75045.370,3.815502,286335.775,3.815502,0.546275,0.550197,69.805533,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_031_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x255267.051_y3364542.665.tif
q_032,s200_x254702.800_y3365113.601,0.654867,0.654867,0.654867,12.479398,3.703205,0.421706,0.927134,0.706335,0.000000,0.272266,285900.594,75041.061,3.809922,285900.594,3.809922,0.712956,0.717230,25.031577,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_032_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254702.800_y3365113.601.tif
q_033,s300_x254752.800_y3365163.601,0.630544,0.630544,0.630544,7.416490,6.186935,0.730443,0.907198,0.695046,0.000000,0.276654,287372.362,75044.317,3.829369,287372.362,3.829369,0.668693,0.676644,21.640446,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_033_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254752.800_y3365163.601.tif
q_034,s700_x254952.800_y3365363.601,0.649807,0.649807,0.649807,3.747158,4.837931,0.667356,0.921660,0.705040,0.000000,0.271853,287397.001,75053.550,3.829226,287397.001,3.829226,0.606756,0.618013,46.659085,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_034_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x254952.800_y3365363.601.tif
q_035,s200_x254839.058_y3364954.565,0.671547,0.671547,0.671547,6.703981,32.421662,4.989699,0.928129,0.723549,0.000000,0.256582,287792.313,75048.992,3.834726,287792.313,3.834726,0.696927,0.700798,28.823933,true,false,false,,mixed_dsm_and_pose,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_035_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254839.058_y3364954.565.tif
q_036,s300_x255267.051_y3364542.665,0.650694,0.650694,0.650694,13.425567,9.265585,1.207683,0.906979,0.717429,0.000000,0.256286,287575.350,75043.839,3.832098,287575.350,3.832098,0.731305,0.732631,21.407512,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_036_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x255267.051_y3364542.665.tif
q_037,s300_x255253.340_y3364158.631,0.640118,0.640114,0.671449,3.719527,2.675045,0.097894,0.867976,0.737483,0.000000,0.227858,287585.006,75047.495,3.832040,287585.006,3.832040,0.672134,0.674849,48.094676,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_037_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x255253.340_y3364158.631.tif
q_038,s500_x255367.051_y3364642.665,0.591823,0.591823,0.591823,24.759733,3.330732,0.631505,0.847186,0.698575,0.000000,0.255363,286125.094,75045.643,3.812681,286125.094,3.812681,0.649620,0.651003,54.708807,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_038_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x255367.051_y3364642.665.tif
q_039,s200_x254839.058_y3364954.565,0.599617,0.599617,0.599617,21.436936,5.166830,0.805994,0.789395,0.759590,0.000000,0.189778,286532.070,75040.104,3.818386,286532.070,3.818386,0.739779,0.743571,17.704165,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_039_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254839.058_y3364954.565.tif
q_040,s200_x254702.800_y3365263.601,0.550672,0.550672,0.550672,21.754958,10.841931,1.561305,0.774136,0.711338,0.000000,0.223463,285692.691,75043.261,3.807040,285692.691,3.807040,0.570672,0.575848,33.696776,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_040_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254702.800_y3365263.601.tif
