query_id,best_candidate_id,pred_valid_ratio,common_valid_ratio,ortho_iou,center_offset_m,horizontal_error_m,view_dir_angle_error_deg,dsm_valid_ratio_on_pred_grid,iou_alpha_vs_dsm_valid,alpha_outside_dsm_valid_ratio,dsm_valid_but_alpha_empty_ratio,truth_patch_area_m2,footprint_area_m2,truth_to_footprint_area_ratio,satellite_truth_patch_area_m2,satellite_truth_to_footprint_area_ratio,satellite_common_valid_ratio,satellite_ortho_iou,satellite_center_offset_m,truth_patch_is_large_context,pose_is_geometrically_plausible,pred_holes_match_water_or_low_height_regions,camera_center_inside_truth_bbox,diagnosis_primary,diagnosis_secondary,pred_crop_path,dsm_raster_path
q_012,s300_x254211.063_y3365016.491,0.700860,0.700860,0.700860,5.001973,15.065169,2.023038,0.942290,0.743784,0.000000,0.241429,287752.109,75034.068,3.834953,287752.109,3.834953,0.626421,0.626688,53.035023,true,false,false,,mixed_dsm_and_pose,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_012_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254211.063_y3365016.491.tif
q_013,s300_x254211.063_y3364791.491,0.707582,0.707582,0.707582,6.335277,4.208612,0.426154,0.978495,0.723133,0.000000,0.270913,287995.931,75049.609,3.837407,287995.931,3.837407,0.768228,0.774137,37.442801,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_013_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254211.063_y3364791.491.tif
q_014,s300_x254422.293_y3364407.454,0.709292,0.709292,0.709292,4.352484,14.805468,1.567413,0.972464,0.729376,0.000000,0.263172,287561.953,75038.927,3.832170,287561.953,3.832170,0.803263,0.807340,22.161643,true,false,false,,mixed_dsm_and_pose,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_014_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254422.293_y3364407.454.tif
q_015,s500_x254825.317_y3364045.530,0.662213,0.662213,0.664215,4.805723,11.906651,1.555082,0.914877,0.723828,0.000000,0.252664,286115.494,75041.972,3.812740,286115.494,3.812740,0.696001,0.703423,17.269820,true,false,false,,mixed_dsm_and_pose,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_015_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254825.317_y3364045.530.tif
q_016,s200_x254675.317_y3364345.530,0.716367,0.716367,0.716367,8.385292,4.880477,0.832636,0.975655,0.734242,0.000000,0.259288,286530.999,75039.811,3.818386,286530.999,3.818386,0.775944,0.777398,37.318192,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_016_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254675.317_y3364345.530.tif
q_017,s200_x254324.835_y3365125.528,0.686562,0.667626,0.691377,11.514462,8.621267,1.113948,0.931625,0.736951,0.000000,0.245063,287766.583,75039.463,3.834870,287766.583,3.834870,0.751764,0.756350,29.981744,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_017_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254324.835_y3365125.528.tif
q_018,s300_x254436.063_y3365016.491,0.713867,0.713805,0.724773,9.112737,11.998300,1.548391,0.980855,0.727801,0.000000,0.266988,287561.953,75038.927,3.832170,287561.953,3.832170,0.774886,0.778665,27.385774,true,false,false,,mixed_dsm_and_pose,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_018_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254436.063_y3365016.491.tif
q_019,s300_x254436.063_y3364791.491,0.708763,0.708763,0.711516,4.146648,4.114489,0.485377,0.980799,0.722638,0.000000,0.272036,287583.382,75046.842,3.832052,287583.382,3.832052,0.810371,0.818373,17.367682,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_019_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254436.063_y3364791.491.tif
q_020,s500_x254825.317_y3364045.530,0.632059,0.631604,0.662946,12.509980,9.444719,1.186735,0.881589,0.716955,0.000000,0.249530,286112.802,75041.026,3.812752,286112.802,3.812752,0.672562,0.676679,29.095182,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_020_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254825.317_y3364045.530.tif
q_021,s500_x254825.317_y3364045.530,0.655067,0.648547,0.673297,14.829045,2.820549,0.172626,0.895326,0.731652,0.000000,0.240259,283043.436,75044.907,3.771654,283043.436,3.771654,0.685229,0.688786,28.101043,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_021_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254825.317_y3364045.530.tif
q_022,s500_x254825.317_y3364045.530,0.664359,0.664359,0.666108,1.547060,2.556659,0.136545,0.922775,0.719958,0.000000,0.258416,285876.539,75032.090,3.810057,285876.539,3.810057,0.732372,0.740427,16.513013,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_022_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254825.317_y3364045.530.tif
q_023,s700_x254925.317_y3364145.530,0.699092,0.699092,0.699092,3.486219,4.852282,0.676726,0.947540,0.737797,0.000000,0.248447,286130.446,75047.660,3.812650,286130.446,3.812650,0.769195,0.773197,26.775864,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_023_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x254925.317_y3364145.530.tif
q_024,s500_x254839.058_y3364654.565,0.724177,0.724177,0.724177,6.478098,3.938681,0.270455,0.981339,0.737948,0.000000,0.257162,286765.850,75049.436,3.821026,286765.850,3.821026,0.813728,0.820094,20.111777,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_024_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254839.058_y3364654.565.tif
q_025,s300_x254449.835_y3365175.528,0.656318,0.656318,0.656318,9.665199,1.010308,0.194681,0.917486,0.715344,0.000000,0.261168,287407.175,75057.414,3.829164,287407.175,3.829164,0.713701,0.718272,44.379442,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_025_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254449.835_y3365175.528.tif
q_026,s300_x254449.835_y3365175.528,0.651743,0.651743,0.651743,15.896450,3.690522,0.325332,0.897723,0.725995,0.000000,0.245980,287395.407,75052.993,3.829233,287395.407,3.829233,0.645101,0.647227,52.656109,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_026_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254449.835_y3365175.528.tif
q_027,s300_x254436.063_y3364791.491,0.546528,0.546528,0.546528,58.001103,5.491039,0.680700,0.726022,0.752771,0.000000,0.179494,287675.573,75081.211,3.831525,287675.573,3.831525,0.505099,0.508619,83.618005,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_027_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254436.063_y3364791.491.tif
