query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_strict_truth_hit
q_011,1,1,s300_x254950.317_y3364170.530,0.9046697616577148,300.0,254950.31714087684,3364170.5298480103,22,4,0.18181818181818182,0.0,0,-1.0,1.0,0.2818181818181818,0.5690909090909091,0,1
q_011,2,2,s300_x255992.683_y3363537.726,0.8906936049461365,300.0,255992.68346681632,3363537.725988563,15,4,0.26666666666666666,0.0,0,-1.0,0.7323517627976472,0.29666666666666663,0.47094070511905883,0,0
q_011,3,4,s500_x253783.067_y3364678.442,0.8859636187553406,500.0,253783.06710738334,3364678.4419510043,15,4,0.26666666666666666,0.0,0,-1.0,0.6417708905247129,0.29666666666666663,0.4347083562098851,0,0
q_011,4,3,s500_x254825.317_y3364045.530,0.886581540107727,500.0,254825.31714087684,3364045.5298480103,20,4,0.2,0.0,0,-1.0,0.6536042982425101,0.285,0.43244171929700403,0,1
q_011,5,5,s300_x254725.317_y3363945.530,0.8779276013374329,300.0,254725.31714087684,3363945.5298480103,10,4,0.4,0.0,0,-1.0,0.4878783762651542,0.32,0.3871513505060617,0,0
q_011,6,6,s300_x255464.632_y3363324.598,0.8739224672317505,300.0,255464.63173593904,3363324.597604262,8,4,0.5,0.0,0,-1.0,0.4111786722430283,0.3375,0.36697146889721133,0,0
q_011,7,7,s200_x254975.317_y3364345.530,0.8733786344528198,200.0,254975.31714087684,3364345.5298480103,16,4,0.25,0.0,0,-1.0,0.40076408634381144,0.29375,0.3365556345375246,0,0
q_011,8,8,s200_x254825.317_y3364045.530,0.8695768117904663,200.0,254825.31714087684,3364045.5298480103,16,4,0.25,0.0,0,-1.0,0.32795786681338096,0.29375,0.3074331467253524,0,0
q_011,9,9,s300_x255267.051_y3364542.665,0.866002082824707,300.0,255267.05124207112,3364542.665366566,16,4,0.25,0.0,0,-1.0,0.25950057015406147,0.29375,0.2800502280616246,0,0
q_011,10,10,s200_x254975.317_y3364195.530,0.8635036945343018,200.0,254975.31714087684,3364195.5298480103,10,4,0.4,0.0,0,-1.0,0.2116555698744063,0.32,0.27666222794976253,0,1
q_011,11,11,s500_x255867.683_y3363412.726,0.8631263971328735,500.0,255867.68346681632,3363412.725988563,15,4,0.26666666666666666,0.0,0,-1.0,0.2044301940806708,0.29666666666666663,0.2597720776322683,0,0
q_011,12,16,s500_x255867.683_y3363787.726,0.8547810316085815,500.0,255867.68346681632,3363787.725988563,10,4,0.4,0.0,0,-1.0,0.0446135565399924,0.32,0.20984542261599695,0,0
q_011,13,12,s200_x253810.673_y3365746.519,0.8565912842750549,200.0,253810.6733898759,3365746.519046808,17,4,0.23529411764705882,0.0,0,-1.0,0.07928052150548066,0.2911764705882353,0.20641809095513344,0,0
q_011,14,17,s700_x255967.683_y3363512.726,0.8536251783370972,700.0,255967.68346681632,3363512.725988563,9,4,0.4444444444444444,0.0,0,-1.0,0.022478566430652942,0.3277777777777778,0.20565809323892784,0,0
q_011,15,14,s300_x255767.683_y3363537.726,0.8557292819023132,300.0,255767.68346681632,3363537.725988563,17,4,0.23529411764705882,0.0,0,-1.0,0.06277287778841863,0.2911764705882353,0.19981503346830864,0,0
q_011,16,15,s200_x254474.835_y3365425.528,0.8552166819572449,200.0,254474.83531152448,3365425.5278006354,16,4,0.25,0.0,0,-1.0,0.05295641146517609,0.29375,0.19743256458607042,0,0
