flight_id,query_count,best_success_count,best_failure_count,missing_pnp_rows_count,success_rate
DJI_202510311347_009_新建面状航线1,20,20,0,0,1.0
DJI_202510311413_010_新建面状航线1,20,20,0,0,1.0
