query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,1,1,s200_x253646.869_y3365287.480,0.7206888794898987,200.0,253646.86911584332,3365287.480292981,17,4,0.23529411764705882,0.0,0,-1.0,1.0,0.3161764705882353,0.5897058823529412,0,1
q_001,2,2,s300_x253696.869_y3365187.480,0.7184687256813049,300.0,253696.86911584332,3365187.480292981,14,4,0.2857142857142857,0.0,0,-1.0,0.9696648622059267,0.325,0.5828659448823708,0,1
q_001,3,3,s700_x253883.067_y3364778.442,0.7165505886077881,700.0,253883.06710738334,3364778.4419510043,21,4,0.19047619047619047,0.0,0,-1.0,0.9434563390811666,0.30833333333333335,0.5623825356324667,0,1
q_001,4,5,s300_x253908.067_y3364803.442,0.7039330005645752,300.0,253908.06710738334,3364803.4419510043,8,4,0.5,0.0,0,-1.0,0.7710555484520919,0.3625,0.5259222193808368,0,1
q_001,5,4,s500_x253783.067_y3364678.442,0.7058935165405273,500.0,253783.06710738334,3364678.4419510043,17,4,0.23529411764705882,0.0,0,-1.0,0.7978431169745,0.3161764705882353,0.5088431291427412,0,1
q_001,6,6,s200_x253933.067_y3364978.442,0.703772783279419,200.0,253933.06710738334,3364978.4419510043,14,4,0.2857142857142857,0.0,0,-1.0,0.7688664147968496,0.325,0.5025465659187398,0,1
q_001,7,7,s200_x254174.835_y3365575.528,0.6964467167854309,200.0,254174.83531152448,3365575.5278006354,17,4,0.23529411764705882,0.0,0,-1.0,0.6687664867092386,0.3161764705882353,0.4572124770366366,0,0
q_001,8,8,s300_x253908.067_y3365028.442,0.6950802803039551,300.0,253908.06710738334,3365028.4419510043,17,4,0.23529411764705882,0.0,0,-1.0,0.6500961410818458,0.3161764705882353,0.4497443387856795,0,1
q_001,9,9,s200_x253933.067_y3364828.442,0.6904825568199158,200.0,253933.06710738334,3364828.4419510043,10,4,0.4,0.0,0,-1.0,0.58727500910103,0.34500000000000003,0.44191000364041205,0,1
q_001,10,11,s200_x253796.869_y3365287.480,0.6867815256118774,200.0,253796.86911584332,3365287.480292981,12,4,0.3333333333333333,0.0,0,-1.0,0.5367058587829622,0.33333333333333337,0.4146823435131849,0,1
q_001,11,10,s200_x255717.683_y3363412.726,0.6868505477905273,200.0,255717.68346681632,3363412.725988563,13,4,0.3076923076923077,0.0,0,-1.0,0.5376489453799751,0.32884615384615384,0.41236727045968236,0,0
q_001,12,13,s500_x253796.869_y3365287.480,0.6857194900512695,500.0,253796.86911584332,3365287.480292981,12,4,0.3333333333333333,0.0,0,-1.0,0.5221947042185615,0.33333333333333337,0.4088778816874246,0,1
q_001,13,15,s200_x253810.673_y3365746.519,0.6824389100074768,200.0,253810.6733898759,3365746.519046808,18,5,0.2777777777777778,0.3712160885334015,0,-1.0,0.4773704009258211,0.3426457713304708,0.3965356231686109,0,0
q_001,14,14,s200_x253646.869_y3365587.480,0.6848309636116028,200.0,253646.86911584332,3365587.480292981,16,4,0.25,0.0,0,-1.0,0.5100542967041648,0.31875000000000003,0.39527171868166594,0,0
q_001,15,18,s500_x253268.902_y3365299.458,0.6801648736000061,500.0,253268.9018066581,3365299.4584696507,9,4,0.4444444444444444,0.0,0,-1.0,0.4462990366345979,0.3527777777777778,0.3901862813205058,0,1
q_001,16,12,s200_x253660.673_y3365746.519,0.685933530330658,200.0,253660.6733898759,3365746.519046808,27,5,0.18518518518518517,0.7835397124290466,0,-1.0,0.5251192499611119,0.2920477040528274,0.3852763224161412,0,0
q_001,17,17,s200_x254474.835_y3365425.528,0.6804907321929932,200.0,254474.83531152448,3365425.5278006354,11,4,0.36363636363636365,0.0,0,-1.0,0.4507514152407029,0.3386363636363637,0.3834823842780994,0,0
q_001,18,16,s200_x253905.470_y3363310.367,0.6808180212974548,200.0,253905.4698876719,3363310.3665024354,18,5,0.2777777777777778,0.808303952217102,0,-1.0,0.4552233396830154,0.306185675362022,0.3658007410904194,0,0
q_001,19,19,s200_x254311.063_y3364816.491,0.6774196028709412,200.0,254311.06292971745,3364816.490741796,21,4,0.19047619047619047,0.0,0,-1.0,0.4087889481326804,0.30833333333333335,0.3485155792530722,0,0
q_001,20,20,s200_x254461.063_y3364816.491,0.6755958199501038,200.0,254461.06292971745,3364816.490741796,17,4,0.23529411764705882,0.0,0,-1.0,0.38386963578777455,0.3161764705882353,0.34325373666805103,0,0
q_001,21,21,s300_x255294.480_y3365760.735,0.6732594966888428,300.0,255294.479752744,3365760.7347813593,17,4,0.23529411764705882,0.0,0,-1.0,0.3519472132116822,0.3161764705882353,0.33048476763761403,0,0
q_001,22,22,s200_x253796.869_y3365437.480,0.6728142499923706,200.0,253796.86911584332,3365437.480292981,18,4,0.2222222222222222,0.0,0,-1.0,0.3458635716920912,0.3138888888888889,0.3266787620101698,0,0
q_001,23,23,s500_x254158.067_y3364678.442,0.6705917119979858,500.0,254158.06710738334,3364678.4419510043,20,4,0.2,0.0,0,-1.0,0.3154958575043388,0.31,0.31219834300173555,0,1
q_001,24,30,s200_x253933.067_y3364678.442,0.6609320044517517,200.0,253933.06710738334,3364678.4419510043,6,4,0.6666666666666666,0.0,0,-1.0,0.18351015528352457,0.39166666666666666,0.3084040621134098,0,1
q_001,25,34,s200_x253418.902_y3365149.458,0.6583114862442017,200.0,253418.9018066581,3365149.4584696507,5,4,0.8,0.0,0,-1.0,0.1477046265808713,0.415,0.3080818506323485,0,1
q_001,26,24,s200_x253377.414_y3363772.341,0.6696793437004089,200.0,253377.41371175498,3363772.340820132,16,5,0.3125,0.8666402101516724,0,-1.0,0.30302968605315,0.30739589033153214,0.3056494086201793,0,0
q_001,27,41,s300_x254394.759_y3363189.382,0.6533786058425903,300.0,254394.75934983813,3363189.382038584,4,4,1.0,0.0,0,-1.0,0.08030406805860167,0.45,0.3021216272234407,0,0
q_001,28,26,s300_x253696.869_y3365412.480,0.662241518497467,300.0,253696.86911584332,3365412.480292981,16,4,0.25,0.0,0,-1.0,0.20140273951182644,0.31875000000000003,0.2718110958047306,0,1
q_001,29,27,s300_x254224.835_y3365625.528,0.6614828109741211,300.0,254224.83531152448,3365625.5278006354,12,5,0.4166666666666667,0.8991087079048157,0,-1.0,0.19103611663326228,0.3229166666666667,0.2701644466533049,0,0
q_001,30,31,s200_x254161.063_y3364666.491,0.6602670550346375,200.0,254161.06292971745,3364666.490741796,12,4,0.3333333333333333,0.0,0,-1.0,0.17442459908639504,0.33333333333333337,0.26976983963455803,0,0
q_001,31,25,s200_x253091.241_y3364231.380,0.6625609397888184,200.0,253091.240806092,3364231.379625299,20,4,0.2,0.0,0,-1.0,0.20576716185499758,0.31,0.26830686474199905,0,0
q_001,32,28,s300_x253141.241_y3364206.380,0.6611696481704712,300.0,253141.240806092,3364206.379625299,15,4,0.26666666666666666,0.0,0,-1.0,0.18675720732349907,0.32166666666666666,0.2677028829293996,0,0
q_001,33,29,s200_x255867.683_y3363262.726,0.6609371900558472,200.0,255867.68346681632,3363262.725988563,16,4,0.25,0.0,0,-1.0,0.18358100893977683,0.31875000000000003,0.2646824035759107,0,0
q_001,34,35,s200_x253255.070_y3364990.419,0.6582844853401184,200.0,253255.07017110073,3364990.4188417904,12,4,0.3333333333333333,0.0,0,-1.0,0.14733569892245435,0.33333333333333337,0.25893427956898174,0,0
q_001,35,32,s500_x254269.759_y3363214.382,0.6592666506767273,500.0,254269.75934983813,3363214.382038584,15,4,0.26666666666666666,0.0,0,-1.0,0.16075554429860173,0.32166666666666666,0.2573022177194407,0,0
q_001,36,33,s200_x253091.241_y3363931.380,0.6586698293685913,200.0,253091.240806092,3363931.379625299,15,4,0.26666666666666666,0.0,0,-1.0,0.15260085855085542,0.32166666666666666,0.25404034342034215,0,0
q_001,37,36,s200_x255544.480_y3366010.735,0.6579999327659607,200.0,255544.479752744,3366010.7347813593,17,4,0.23529411764705882,0.0,0,-1.0,0.14344770633684154,0.3161764705882353,0.24708496488767778,0,0
q_001,38,40,s700_x254438.610_y3365984.565,0.6537536978721619,700.0,254438.6099540508,3365984.565271766,11,4,0.36363636363636365,0.0,0,-1.0,0.08542914919418218,0.3386363636363637,0.2373534778594911,0,0
q_001,39,50,s200_x254675.317_y3364345.530,0.6475013494491577,200.0,254675.31714087684,3364345.5298480103,6,4,0.6666666666666666,0.0,0,-1.0,0.0,0.39166666666666666,0.235,0,0
q_001,40,38,s300_x253393.902_y3365199.458,0.6546626091003418,300.0,253393.9018066581,3365199.4584696507,18,4,0.2222222222222222,0.0,0,-1.0,0.0978480848745361,0.3138888888888889,0.22747256728314777,0,1
