pitch_group,query_count,B_count,B_ratio_within_pitch_group,C_count,C_ratio_within_pitch_group,D_count,D_ratio_within_pitch_group
downview,20,3,0.150000,2,0.100000,0,0.000000
tilted,20,3,0.150000,1,0.050000,0,0.000000
