query_id,flight_id,flight_short,image_name,query_image_path,pitch_group,tags,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,coarse_first_truth_rank,coarse_top1_hit,coarse_top20_hit,romav2_first_truth_rank,romav2_top1_hit,romav2_top20_hit,coarse_top1_error_m,romav2_top1_error_m,delta_top1_error_m,rank_gain,promoted_to_top1,promoted_within_top20,main_bucket,c_variant,c_near_miss,d_variant,a_shrink,b_core,b_strong_rank,b_strong_error,footprint_area_m2,truth_count_total,truth_count_200m,truth_count_300m,truth_count_500m,truth_count_700m,query_x,query_y,coarse_truth_count,romav2_truth_count,romav2_top1_raw_rank,romav2_top1_global_score,romav2_top1_match_score,romav2_top1_inlier_count,romav2_top1_inlier_ratio,romav2_top1_reproj_error_mean,romav2_top1_geom_valid,romav2_top1_geom_quality,romav2_top1_fused_score,selection_reason
q_011,DJI_202510311413_010_新建面状航线1,010,DJI_20251031141624_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0002_V.JPG,downview,downview,-45.00,-28.40,-9.00,1,1,1,1,1,1,696.463985,862.132054,165.668069,0,0,0,A,,0,,0,0,0,0,1143983.584,251,111,58,35,47,254989.887,3364130.771,251,251,1,0.9166033864021301,0.908057689666748,38,0.0076,2.3659191131591797,0,0.09950318384725773,0.45970191030835467,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_012,DJI_202510311413_010_新建面状航线1,010,DJI_20251031141629_0004_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,tilted,tilted,-44.90,-28.60,-20.40,1,1,1,1,1,1,685.109518,513.487738,-171.62178,0,0,0,A,,0,,1,0,0,0,1156452.572,253,111,59,36,47,254974.784,3364159.34,253,253,1,0.9210686087608337,0.995305061340332,105,0.021,2.216536283493042,1,0.27612538814214055,0.7156752328852843,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_013,DJI_202510311413_010_新建面状航线1,010,DJI_20251031141846_0053_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141846_0053_V.JPG,downview,downview,-45.00,151.00,-15.90,2,0,1,1,1,1,1610.927933,243.352684,-1367.575249,1,1,1,B,,0,,0,0,0,1,1144174.125,249,105,65,37,42,254380.302,3365512.475,249,249,1,0.9299206137657166,0.5980571508407593,14,0.0028,1.819380760192871,0,0.0707130849896217,0.442427850993773,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_014,DJI_202510311413_010_新建面状航线1,010,DJI_20251031142032_0101_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142032_0101_V.JPG,downview,downview,-45.10,-28.90,-12.70,1,1,1,1,1,1,1183.755948,1183.755948,0.0,0,0,0,A,,0,,0,0,0,0,1132009.768,248,108,58,36,46,255120.243,3364110.452,248,248,1,0.9399905204772949,0.9895404577255249,91,0.0182,2.480391025543213,1,0.25466655516354175,0.702799933098125,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_015,DJI_202510311413_010_新建面状航线1,010,DJI_20251031142344_0165_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142344_0165_V.JPG,downview,downview,-45.10,151.70,-20.40,1,1,1,1,1,1,870.157725,612.413405,-257.744321,0,0,0,A,,0,,1,0,0,0,1131985.442,258,110,62,38,48,254408.476,3365685.058,258,258,1,0.9421216249465942,0.903380274772644,92,0.0184,2.0623414516448975,1,0.24092382747000976,0.6945542964820058,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_016,DJI_202510311413_010_新建面状航线1,010,DJI_20251031142401_0166_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142401_0166_V.JPG,tilted,tilted,-44.90,150.90,-11.30,1,1,1,1,1,1,566.320796,566.320796,0.0,0,0,0,A,,0,,0,0,0,0,1156701.103,255,110,58,39,48,254511.882,3365715.811,255,255,1,0.9269281625747681,0.9986390471458435,643,0.1286,2.4673705101013184,1,0.6383320993361912,0.9329992596017148,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_017,DJI_202510311413_010_新建面状航线1,010,DJI_20251031142656_0223_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142656_0223_V.JPG,tilted,tilted,-44.90,-28.60,-16.70,1,1,1,1,1,1,226.31344,226.31344,0.0,0,0,0,A,,0,,0,0,0,0,1156340.742,248,108,58,35,47,255475.569,3364115.827,248,248,1,0.9275382161140442,0.9956914186477661,813,0.1626,2.4212512969970703,1,0.6412894992733331,0.9347736995639999,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_018,DJI_202510311413_010_新建面状航线1,010,DJI_20251031143021_0273_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143021_0273_V.JPG,tilted,tilted,-45.00,-118.40,-11.20,1,1,1,1,1,1,391.086859,391.086859,0.0,0,0,0,A,,0,,0,0,0,0,1144155.685,193,92,48,25,28,254166.298,3365159.14,193,193,1,0.9101700782775879,0.9978622794151306,327,0.0654,2.7161645889282227,1,0.5072054394898212,0.8543232636938928,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_019,DJI_202510311413_010_新建面状航线1,010,DJI_20251031143308_0306_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143308_0306_V.JPG,tilted,tilted,-45.00,-119.20,-17.50,1,1,1,1,1,1,212.003761,212.003761,0.0,0,0,0,A,,0,,0,0,0,0,1143922.123,225,108,57,30,30,254532.304,3365231.912,225,225,1,0.9406417608261108,0.9988363981246948,451,0.0902,2.439401626586914,1,0.47707264906565383,0.8362435894393924,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_020,DJI_202510311413_010_新建面状航线1,010,DJI_20251031143314_0307_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,downview,downview,-45.10,-118.90,-21.80,1,1,1,1,1,1,277.154028,277.154028,0.0,0,0,0,A,,0,,0,0,0,0,1131760.445,234,107,56,33,38,254601.895,3365268.297,234,234,1,0.9300971031188965,0.9994153380393982,490,0.098,2.5391032695770264,1,0.4882290136816328,0.8429374082089797,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_021,DJI_202510311435_011_新建面状航线1,011,DJI_20251031143818_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,downview,downview,-48.70,-121.00,-6.00,1,1,1,1,1,1,221.375051,221.375051,0.0,0,0,0,A,,0,,0,0,0,0,803804.912,192,82,44,30,36,254640.463,3365288.08,192,192,1,0.9420405626296997,0.9994117021560669,761,0.1522,2.492417573928833,1,0.5372650953420035,0.8723590572052021,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
