query_id,flight_id,rank1_tile_id,rank1_rank,strict_hit,inlier_count,match_count,inlier_ratio,png_path
q_023,DJI_202510311435_011_新建面状航线1,s200_x254461.063_y3364816.491,1,0,4,21,0.190476,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_023_rank1_inliers.png
q_024,DJI_202510311435_011_新建面状航线1,s200_x254311.063_y3364966.491,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_024_rank1_inliers.png
q_025,DJI_202510311435_011_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,12,0.333333,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_025_rank1_inliers.png
q_026,DJI_202510311435_011_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_026_rank1_inliers.png
q_027,DJI_202510311435_011_新建面状航线1,s700_x254397.293_y3364157.454,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_027_rank1_inliers.png
q_028,DJI_202510311435_011_新建面状航线1,s500_x254297.293_y3364432.454,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_028_rank1_inliers.png
q_029,DJI_202510311435_011_新建面状航线1,s200_x254675.317_y3364045.530,1,0,5,17,0.294118,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_029_rank1_inliers.png
q_030,DJI_202510311435_011_新建面状航线1,s700_x254397.293_y3364157.454,1,1,4,6,0.666667,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_030_rank1_inliers.png
q_031,DJI_202510311500_012_新建面状航线1,s200_x254474.835_y3365575.528,1,0,4,10,0.400000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_031_rank1_inliers.png
q_032,DJI_202510311500_012_新建面状航线1,s700_x254397.293_y3364157.454,1,1,4,4,1.000000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_032_rank1_inliers.png
q_033,DJI_202510311500_012_新建面状航线1,s200_x254474.835_y3365575.528,1,0,4,24,0.166667,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_033_rank1_inliers.png
q_034,DJI_202510311500_012_新建面状航线1,s700_x254397.293_y3364157.454,1,1,4,19,0.210526,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_034_rank1_inliers.png
q_035,DJI_202510311500_012_新建面状航线1,s200_x254474.835_y3365575.528,1,0,5,14,0.357143,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_035_rank1_inliers.png
q_036,DJI_202510311500_012_新建面状航线1,s300_x256033.727_y3365139.824,1,0,4,7,0.571429,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_036_rank1_inliers.png
q_037,DJI_202510311500_012_新建面状航线1,s200_x254447.293_y3364057.454,1,0,4,16,0.250000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_037_rank1_inliers.png
q_038,DJI_202510311500_012_新建面状航线1,s200_x255530.764_y3365401.700,1,0,4,14,0.285714,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_038_rank1_inliers.png
q_039,DJI_202510311500_012_新建面状航线1,s700_x254952.800_y3365363.601,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_039_rank1_inliers.png
q_040,DJI_202510311500_012_新建面状航线1,s200_x254675.317_y3364045.530,1,0,4,12,0.333333,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_040_rank1_inliers.png
