flight_id,flight_root,odm_orthophoto_path,odm_dsm_path,odm_dsm_source_kind,shots_geojson_path,cameras_json_path,asset_version_tag,status,missing_fields
DJI_202510311347_009_新建面状航线1,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/odm_orthophoto/odm_orthophoto.tif,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/odm_georeferencing/odm_georeferenced_model.laz,laz,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/odm_report/shots.geojson,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/cameras.json,odm_refresh_2026-04-16,ready,
DJI_202510311413_010_新建面状航线1,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/odm_orthophoto/odm_orthophoto.tif,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/odm_georeferencing/odm_georeferenced_model.laz,laz,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/odm_report/shots.geojson,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/cameras.json,odm_refresh_2026-04-16,ready,
