query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,s500_x253783.067_y3365053.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,685.000000,0.342500,15790396.749703,0.897672,0.718029,14.756849,0.935245,4.758556,0.655777,0.000000,"[0.7577189291561401, -3.043251638048954, -0.006876511654847684]","[1801853.9884627787, -2853089.33771364, -19390.498024981276]",253722.262441,3364936.464118,402.639939,"{""ok"": 2000}",0.498721,1
q_001,s700_x253883.067_y3364778.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,547.000000,0.273500,17590394.803291,1.000000,0.573375,15.748640,0.998102,4.431921,0.544162,0.000000,"[-0.7545407644863875, 3.0311858677982353, 0.013428307534788122]","[1801673.3093854564, -2853258.7986076134, -8211.454317439182]",253731.222161,3364936.881859,401.963068,"{""ok"": 2000}",0.492119,2
q_001,s500_x253783.067_y3364678.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,649.000000,0.324500,12923705.489019,0.734702,0.680294,15.614201,0.989581,4.732819,0.646983,0.000000,"[-0.7534744064577519, 3.039705316143284, 0.007415906289341615]","[1795989.1244170454, -2856849.2165525984, -4336.638271827744]",253728.444635,3364937.577525,404.122150,"{""ok"": 2000}",0.451344,3
q_001,s200_x253783.067_y3364828.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,954.000000,0.477000,3464885.894101,0.196976,1.000000,15.778592,1.000000,4.282440,0.493082,0.000000,"[0.7513240377974593, -3.027225800793613, -0.009195845171159381]","[1797149.9766419204, -2855804.334601996, -42280.11291841779]",253717.030934,3364934.107918,402.002709,"{""ok"": 2000}",0.443036,4
q_001,s300_x253908.067_y3365028.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,402.000000,0.201000,5524512.181614,0.314064,0.421384,13.479663,0.854301,5.123688,0.780548,0.000000,"[-0.7445380793519941, 2.9881890534593887, 0.028449952088928098]","[1802683.7654088347, -2852626.729437683, 6860.61369455328]",253746.016193,3364938.017495,425.759862,"{""ok"": 2000}",0.230468,5
q_001,s300_x253908.067_y3364803.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,337.000000,0.168500,4789392.840874,0.272273,0.353249,14.061258,0.891161,5.056678,0.757650,0.000000,"[-0.744300717143296, 3.0307598184157896, 0.022568290615914175]","[1783797.210665121, -2864379.8124324693, -24263.3018496837]",253733.195288,3364938.662624,410.916683,"{""ok"": 2000}",0.202619,6
q_001,s200_x253933.067_y3364978.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,431.000000,0.215500,3410008.173033,0.193856,0.451782,5.906572,0.374341,5.230201,0.816945,0.000000,"[-0.7166906218132648, 2.9897117890068357, -0.06708870219969391]","[1743957.706426277, -2881382.4340306944, 208877.3886595304]",253744.328083,3364966.064839,418.189123,"{""ok"": 2000}",0.159210,7
q_001,s200_x255489.632_y3363424.598,ok,,applicable_success,,2000,2000,1.000000,0.000000,7.000000,0.003500,6607106.747010,0.375609,0.007338,8.402436,0.532521,3.622743,0.267654,0.000000,"[-0.8766191699225522, -1.523014348436158, -1.0302022813874263]","[-3041890.099881615, -1217251.6811900178, -801724.3788847161]",255455.415977,3363376.509590,1.394513,"{""ok"": 2000}",0.122906,8
q_001,s300_x253696.869_y3365187.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,206.000000,0.103000,2867613.712366,0.163022,0.215933,7.842337,0.497024,5.037195,0.750992,0.000000,"[-0.7631535161801929, 2.955974661279838, 0.06792704297778229]","[1852635.3074106895, -2820066.706516804, -45990.13042909575]",253762.612218,3364929.907235,399.505396,"{""ok"": 2000}",0.089445,9
q_001,s300_x254238.610_y3365784.565,ok,,applicable_success,,2000,2000,1.000000,0.000000,6.000000,0.003000,2026644.170101,0.115213,0.006289,10.550458,0.668656,3.727341,0.303397,0.000000,"[-1.6405200943760092, 1.9450453928886806, 1.610243061040374]","[2694560.315954622, 701008.3949318432, -1907982.4980425793]",254241.603967,3365683.657985,-10.097728,"{""ok"": 2000}",0.067487,10
