query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_021,1,3,s500_x254825.317_y3364045.530,0.8865816593170166,500.0,254825.31714087684,3364045.5298480103,5000,0.9986437559127808,759,0.1518,2.301328182220459,1,759022.865109377,0.65360579035861,1.0,0.655369782939081,0.8046641859068926,1,1
q_021,2,5,s300_x254725.317_y3363945.530,0.8779277801513672,300.0,254725.31714087684,3363945.5298480103,5000,0.9810658097267151,538,0.1076,2.2359707355499268,1,538018.3346873617,0.4878806314970031,0.9720635497429598,0.5260287170758332,0.6607694828443013,1,0
q_021,3,10,s200_x254975.317_y3364195.530,0.8635039329528809,200.0,254975.31714087684,3364195.5298480103,5000,0.9901413917541504,277,0.0554,2.488848924636841,1,277012.9525649929,0.21165833596818545,0.9864872795222738,0.3637456664721699,0.4029107342705761,0,1
q_021,4,9,s300_x255267.051_y3364542.665,0.86600261926651,300.0,255267.05124207112,3364542.665366566,5000,0.6579712629318237,274,0.0548,2.420750856399536,1,274009.6389617729,0.25950915273429165,0.45857268799418666,0.2603548709375551,0.36001658365624967,0,0
q_021,5,1,s300_x254950.317_y3364170.530,0.9046697616577148,300.0,254950.31714087684,3364170.5298480103,5000,0.9357050657272339,265,0.053,2.2259488105773926,1,265012.4311018467,1.0,0.8999721828136206,0.3546642920515668,0.7627985752309401,1,1
q_021,6,7,s200_x254975.317_y3364345.530,0.8733789920806885,200.0,254975.31714087684,3364345.5298480103,5000,0.9439818263053894,190,0.038,2.603700876235962,1,190010.6361173868,0.4007695670586033,0.9131263538261799,0.29225702307090135,0.43566204066598213,0,0
q_021,7,13,s200_x254675.317_y3364045.530,0.8557536005973816,200.0,254675.31714087684,3364045.5298480103,5000,0.9791817665100098,155,0.031,2.3337953090667725,1,155010.55802235604,0.06323645067728065,0.9690692591103417,0.2987996232136362,0.30457435419909396,0,0
q_021,8,15,s200_x254474.835_y3365425.528,0.8552168011665344,200.0,254474.83531152448,3365425.5278006354,5000,0.6732852458953857,136,0.0272,2.4891817569732666,1,136006.96367070198,0.052956532359598525,0.48291104463552453,0.1816529445273534,0.23017437966025145,0,0
q_021,9,18,s200_x254675.317_y3363895.530,0.8531181216239929,200.0,254675.31714087684,3363895.5298480103,5000,0.912889838218689,136,0.0272,2.4651620388031006,1,136009.38373634338,0.012766001161998318,0.8637121748668003,0.25919695384856506,0.26062457277393836,0,0
q_021,10,12,s200_x253810.673_y3365746.519,0.8565916419029236,200.0,253810.6733898759,3365746.519046808,5000,0.752159595489502,95,0.019,1.9823417663574219,1,95007.43925418853,0.07928526830404177,0.6082652424848245,0.21226561210051623,0.2590734745819264,0,0
q_021,11,17,s700_x255967.683_y3363512.726,0.8536252379417419,700.0,255967.68346681632,3363512.725988563,5000,0.7656600475311279,85,0.017,2.5193541049957275,1,85006.83724637031,0.02247747629489189,0.6297213729631063,0.17984930168364066,0.21690057152814116,0,0
