dsm_id,candidate_tile_id,dsm_source_name,crs,tile_min_x,tile_min_y,tile_max_x,tile_max_y,expand_margin_m,request_min_x,request_min_y,request_max_x,request_max_y,raster_path,status,download_request_id
s200_x254474.835_y3365275.528,s200_x254474.835_y3365275.528,srtm,EPSG:32650,254374.83531152448,3365175.5278006354,254574.83531152448,3365375.5278006354,250.000,254124.835312,3364925.527801,254824.835312,3365625.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254474.835_y3365275.528.tif,ready,srtm_s200_x254474.835_y3365275.528
s200_x254461.063_y3364966.491,s200_x254461.063_y3364966.491,srtm,EPSG:32650,254361.06292971745,3364866.490741796,254561.06292971745,3365066.490741796,250.000,254111.062930,3364616.490742,254811.062930,3365316.490742,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254461.063_y3364966.491.tif,ready,srtm_s200_x254461.063_y3364966.491
s200_x254147.293_y3364207.454,s200_x254147.293_y3364207.454,srtm,EPSG:32650,254047.29280875245,3364107.454095203,254247.29280875245,3364307.454095203,250.000,253797.292809,3363857.454095,254497.292809,3364557.454095,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254147.293_y3364207.454.tif,ready,srtm_s200_x254147.293_y3364207.454
s200_x253091.241_y3363931.380,s200_x253091.241_y3363931.380,srtm,EPSG:32650,252991.240806092,3363831.379625299,253191.240806092,3364031.379625299,250.000,252741.240806,3363581.379625,253441.240806,3364281.379625,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253091.241_y3363931.380.tif,ready,srtm_s200_x253091.241_y3363931.380
s500_x255394.480_y3366235.735,s500_x255394.480_y3366235.735,srtm,EPSG:32650,255144.479752744,3365985.7347813593,255644.479752744,3366485.7347813593,250.000,254894.479753,3365735.734781,255894.479753,3366735.734781,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255394.480_y3366235.735.tif,ready,srtm_s500_x255394.480_y3366235.735
s500_x253241.241_y3364081.380,s500_x253241.241_y3364081.380,srtm,EPSG:32650,252991.240806092,3363831.379625299,253491.240806092,3364331.379625299,250.000,252741.240806,3363581.379625,253741.240806,3364581.379625,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253241.241_y3364081.380.tif,ready,srtm_s500_x253241.241_y3364081.380
s300_x254977.800_y3365388.601,s300_x254977.800_y3365388.601,srtm,EPSG:32650,254827.80039608278,3365238.6009922293,255127.80039608278,3365538.6009922293,250.000,254577.800396,3364988.600992,255377.800396,3365788.600992,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254977.800_y3365388.601.tif,ready,srtm_s300_x254977.800_y3365388.601
s300_x254674.835_y3365175.528,s300_x254674.835_y3365175.528,srtm,EPSG:32650,254524.83531152448,3365025.5278006354,254824.83531152448,3365325.5278006354,250.000,254274.835312,3364775.527801,255074.835312,3365575.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254674.835_y3365175.528.tif,ready,srtm_s300_x254674.835_y3365175.528
s300_x253141.241_y3363981.380,s300_x253141.241_y3363981.380,srtm,EPSG:32650,252991.240806092,3363831.379625299,253291.240806092,3364131.379625299,250.000,252741.240806,3363581.379625,253541.240806,3364381.379625,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253141.241_y3363981.380.tif,ready,srtm_s300_x253141.241_y3363981.380
s300_x253127.414_y3363372.341,s300_x253127.414_y3363372.341,srtm,EPSG:32650,252977.41371175498,3363222.340820132,253277.41371175498,3363522.340820132,250.000,252727.413712,3362972.340820,253527.413712,3363772.340820,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253127.414_y3363372.341.tif,ready,srtm_s300_x253127.414_y3363372.341
s300_x253696.869_y3365412.480,s300_x253696.869_y3365412.480,srtm,EPSG:32650,253546.86911584332,3365262.480292981,253846.86911584332,3365562.480292981,250.000,253296.869116,3365012.480293,254096.869116,3365812.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253696.869_y3365412.480.tif,ready,srtm_s300_x253696.869_y3365412.480
s300_x254964.058_y3364554.565,s300_x254964.058_y3364554.565,srtm,EPSG:32650,254814.0576404855,3364404.5652137767,255114.0576404855,3364704.5652137767,250.000,254564.057640,3364154.565214,255364.057640,3364954.565214,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254964.058_y3364554.565.tif,ready,srtm_s300_x254964.058_y3364554.565
s300_x254449.835_y3365400.528,s300_x254449.835_y3365400.528,srtm,EPSG:32650,254299.83531152448,3365250.5278006354,254599.83531152448,3365550.5278006354,250.000,254049.835312,3365000.527801,254849.835312,3365800.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254449.835_y3365400.528.tif,ready,srtm_s300_x254449.835_y3365400.528
s500_x254852.800_y3365638.601,s500_x254852.800_y3365638.601,srtm,EPSG:32650,254602.80039608278,3365388.6009922293,255102.80039608278,3365888.6009922293,250.000,254352.800396,3365138.600992,255352.800396,3366138.600992,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254852.800_y3365638.601.tif,ready,srtm_s500_x254852.800_y3365638.601
s200_x254989.058_y3364654.565,s200_x254989.058_y3364654.565,srtm,EPSG:32650,254889.0576404855,3364554.5652137767,255089.0576404855,3364754.5652137767,250.000,254639.057640,3364304.565214,255339.057640,3365004.565214,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254989.058_y3364654.565.tif,ready,srtm_s200_x254989.058_y3364654.565
s500_x254699.835_y3365275.528,s500_x254699.835_y3365275.528,srtm,EPSG:32650,254449.83531152448,3365025.5278006354,254949.83531152448,3365525.5278006354,250.000,254199.835312,3364775.527801,255199.835312,3365775.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254699.835_y3365275.528.tif,ready,srtm_s500_x254699.835_y3365275.528
s200_x254624.835_y3365275.528,s200_x254624.835_y3365275.528,srtm,EPSG:32650,254524.83531152448,3365175.5278006354,254724.83531152448,3365375.5278006354,250.000,254274.835312,3364925.527801,254974.835312,3365625.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254624.835_y3365275.528.tif,ready,srtm_s200_x254624.835_y3365275.528
s200_x253783.067_y3364528.442,s200_x253783.067_y3364528.442,srtm,EPSG:32650,253683.06710738334,3364428.4419510043,253883.06710738334,3364628.4419510043,250.000,253433.067107,3364178.441951,254133.067107,3364878.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253783.067_y3364528.442.tif,ready,srtm_s200_x253783.067_y3364528.442
s500_x254324.835_y3365275.528,s500_x254324.835_y3365275.528,srtm,EPSG:32650,254074.83531152448,3365025.5278006354,254574.83531152448,3365525.5278006354,250.000,253824.835312,3364775.527801,254824.835312,3365775.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254324.835_y3365275.528.tif,ready,srtm_s500_x254324.835_y3365275.528
s300_x255505.764_y3365151.700,s300_x255505.764_y3365151.700,srtm,EPSG:32650,255355.76437190094,3365001.6998673794,255655.76437190094,3365301.6998673794,250.000,255105.764372,3364751.699867,255905.764372,3365551.699867,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255505.764_y3365151.700.tif,ready,srtm_s300_x255505.764_y3365151.700
