query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_001,s500_x253268.902_y3365299.458,ok,,2000,2000,1,0,24,0.012,250473.5068,15.157789,1018.001985,4.143005,0,"[0.6905399786459019, -2.804834936427317, -0.7101513761010304]","[1552398.0308607197, -2503648.793427573, -1645785.0740654639]",253626.2034,3364889.16,354.011578,"{""ok"": 2000}"
q_001,s200_x254311.063_y3364816.491,ok,,2000,2000,1,0,44,0.022,48146.35855,7.506049,227.984937,5.40557,0,"[-0.04103303892828873, 1.4301110189889268, 1.170480029870093]","[2191353.270796356, -1793577.4689071125, -1833472.7533726299]",255330.6233,3363833.742,681.191048,"{""ok"": 2000}"
q_001,s200_x254461.063_y3364816.491,ok,,2000,2000,1,0,207,0.1035,229998.7687,7.90729,71.719153,4.687599,0,"[0.48327225463286044, -2.7688106519412163, 1.2368391058270791]","[1290360.3291052605, -2043404.7673021646, 2355830.0650668694]",253723.2113,3365426.054,348.579578,"{""ok"": 2000}"
q_002,s500_x254158.067_y3364678.442,ok,,2000,2000,1,0,387,0.1935,3482570.069,22.597363,29.556892,4.810658,0,"[0.6488923888427345, -2.667265718371443, 1.1092367851990939]","[1770162.5009797036, -2024930.9996774704, 2038207.036064557]",253657.0896,3365080.486,396.158976,"{""ok"": 2000}"
q_002,s300_x254133.067_y3364578.442,ok,,2000,2000,1,0,350,0.175,534302.5898,15.597611,78.894178,4.630766,0,"[0.6224906679417263, -2.6354015372822626, 1.1315008468089975]","[1760246.80995758, -2000010.4428200754, 2071216.0410019713]",253610.2137,3365134.2,405.957383,"{""ok"": 2000}"
q_002,s200_x254083.067_y3364528.442,ok,,2000,2000,1,0,264,0.132,123026.8208,11.928435,241.708936,4.458209,0,"[-0.47938170213780096, 2.7571828479786094, -1.3512147614603216]","[1112781.2781485065, -1859604.9771604396, 2586941.7184510785]",253829.9221,3365152.384,316.194997,"{""ok"": 2000}"
q_002,s700_x253883.067_y3364778.442,ok,,2000,2000,1,0,559,0.2795,14321387.44,21.012793,19.113839,4.646449,0,"[0.6682660622715165, -2.678011821084228, 1.09031443316472]","[1795493.578744469, -2038335.5888088064, 2002369.8608922674]",253653.9905,3365078.559,407.975486,"{""ok"": 2000}"
q_002,s500_x253783.067_y3364678.442,ok,,2000,2000,1,0,669,0.3345,12326199.07,23.175582,16.400966,4.447606,0,"[0.6601455501523853, -2.666606571634181, 1.0949452849180183]","[1795852.866468229, -2033418.1149786816, 2007042.3867665913]",253649.2759,3365079.163,406.215186,"{""ok"": 2000}"
q_002,s300_x254449.835_y3365625.528,ok,,2000,2000,1,0,49,0.0245,1757.857229,11.377829,1124.593926,5.37108,1,"[-0.9909951062650396, -0.5499028594607303, -1.3948177090839036]","[-3278179.3062455845, 507711.2848316216, 625220.1684602123]",249609.9063,3366426.111,-838.776834,"{""ok"": 2000}"
q_002,s300_x253908.067_y3364803.442,ok,,2000,2000,1,0,400,0.2,5555257.262,17.589643,22.448723,5.000792,0,"[0.6744995388422199, -2.6909327095190654, 1.0774363820509951]","[1794816.1205118182, -2057244.3961279425, 1983546.334753593]",253657.8311,3365075.483,413.693538,"{""ok"": 2000}"
q_002,s200_x255717.683_y3363412.726,ok,,2000,2000,1,0,166,0.083,12192.77882,7.708759,987.076987,4.035684,0,"[2.0226325538984864, -0.6146590549066725, 0.8397817049448609]","[2110431.331230108, 1801035.2398007496, -1917234.7863399507]",254807.1674,3362812.94,67.106013,"{""ok"": 2000}"
