source_group,query_id,candidate_id,raw_rank,rerank_rank,match_count,inlier_count,inlier_ratio,geom_valid,is_truth_hit,truth_hit_source,pnp_status,is_best_pose_candidate,best_candidate_id,global_score,fused_score,candidate_scale_level_m,matcher_score,method
g02_roma,q_001,cw_s200_x253783.721_y3364952.517,2,1,5000,2655,0.531,1,1,rerank_field,ok,1,cw_s200_x253783.721_y3364952.517,0.8875207901000977,1.0070601026862571,200.0,1.0,RoMa v2
g02_roma,q_001,cw_s200_x254083.721_y3364052.517,14,2,5000,239,0.0478,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8563501834869385,0.36397251660501106,200.0,0.8478427529335022,RoMa v2
g02_roma,q_001,cw_s200_x254683.721_y3364052.517,6,3,5000,154,0.0308,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.876128613948822,0.5187760238864026,200.0,0.7574110627174377,RoMa v2
g02_roma,q_001,cw_s200_x255133.721_y3364052.517,17,4,5000,153,0.0306,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8482683897018433,0.3229190465565749,200.0,0.8953099846839905,RoMa v2
g02_roma,q_001,cw_s200_x254083.721_y3365102.517,3,5,5000,144,0.0288,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8872108459472656,0.6835429031517045,200.0,0.9669806361198425,RoMa v2
g02_roma,q_001,cw_s200_x254983.721_y3365252.517,12,6,5000,130,0.026,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8615201711654663,0.4075431404258508,200.0,0.9040656089782715,RoMa v2
g02_roma,q_001,cw_s200_x254233.721_y3364052.517,8,7,5000,92,0.0184,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8690857291221619,0.4561856766030732,200.0,0.8748266696929932,RoMa v2
g02_roma,q_001,cw_s200_x255133.721_y3364202.517,7,8,5000,91,0.0182,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.870297908782959,0.4867953192727369,200.0,0.9294009804725647,RoMa v2
g02_roma,q_001,cw_s300_x255108.721_y3364327.517,4,9,5000,81,0.0162,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8848994970321655,0.6173772618114086,300.0,0.6859930753707886,RoMa v2
g02_roma,q_001,cw_s200_x254833.721_y3364052.517,11,10,5000,80,0.016,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8640314936637878,0.3780871217241344,200.0,0.6491002440452576,RoMa v2
g02_roma,q_001,cw_s200_x254983.721_y3364352.517,9,11,5000,76,0.0152,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8683090806007385,0.4391375984220095,200.0,0.7708532214164734,RoMa v2
g02_roma,q_001,cw_s200_x254233.721_y3364652.517,20,12,5000,70,0.014,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8410922288894653,0.21474796551676265,200.0,0.9029334187507629,RoMa v2
g02_roma,q_001,cw_s300_x254208.721_y3364102.517,13,13,5000,62,0.0124,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.85735023021698,0.35946347515213783,300.0,0.9017442464828491,RoMa v2
g02_roma,q_001,cw_s300_x255108.721_y3364102.517,10,14,5000,50,0.01,1,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8644502758979797,0.4205669307650307,300.0,0.8946158289909363,RoMa v2
g02_roma,q_001,cw_s300_x254883.721_y3364327.517,18,15,5000,42,0.0084,0,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8456732034683228,0.08390941627643836,300.0,0.6996161341667175,RoMa v2
g02_roma,q_001,cw_s300_x255108.721_y3365002.517,15,16,5000,39,0.0078,0,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8521398305892944,0.1658910938493818,300.0,0.9108102321624756,RoMa v2
g02_roma,q_001,cw_s300_x254883.721_y3365002.517,1,17,5000,35,0.007,0,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8885436058044434,0.4398320575113797,300.0,0.6701200008392334,RoMa v2
g02_roma,q_001,cw_s300_x254883.721_y3364102.517,16,18,5000,23,0.0046,0,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8518952131271362,0.1255007044822566,300.0,0.39240115880966187,RoMa v2
g02_roma,q_001,cw_s300_x254658.721_y3364102.517,5,19,5000,20,0.004,0,0,,ok,0,cw_s200_x253783.721_y3364952.517,0.8769936561584473,0.35295994643119716,300.0,0.8168462514877319,RoMa v2
