source_group,query_id,candidate_id,raw_rank,rerank_rank,match_count,inlier_count,inlier_ratio,geom_valid,is_truth_hit,truth_hit_source,pnp_status,is_best_pose_candidate,best_candidate_id,global_score,fused_score,candidate_scale_level_m,matcher_score,method
g03_siftgpu,q_002,cw_s300_x253983.721_y3364777.517,11,3,514,158,0.30739299610894943,1,1,rerank_field,ok,0,cw_s500_x254008.721_y3364877.517,0.8023219704627991,0.47743123367856577,300.0,0.30739299610894943,SIFTGPU
g03_siftgpu,q_002,cw_s200_x253933.721_y3364802.517,1,4,325,149,0.4584615384615385,1,0,,ok,0,cw_s500_x254008.721_y3364877.517,0.8600766062736511,0.9100408027857417,200.0,0.4584615384615385,SIFTGPU
g03_siftgpu,q_002,cw_s500_x254008.721_y3364502.517,2,5,282,140,0.49645390070921985,1,0,,ok,0,cw_s500_x254008.721_y3364877.517,0.8338605761528015,0.7769038577556332,500.0,0.49645390070921985,SIFTGPU
g03_siftgpu,q_002,cw_s200_x253933.721_y3364952.517,17,6,203,66,0.3251231527093596,1,0,,ok,0,cw_s500_x254008.721_y3364877.517,0.7966123819351196,0.3544084880884457,200.0,0.3251231527093596,SIFTGPU
g03_siftgpu,q_002,cw_s300_x253983.721_y3365002.517,3,7,220,65,0.29545454545454547,1,0,,ok,0,cw_s500_x254008.721_y3364877.517,0.8303207755088806,0.5727363835244842,300.0,0.29545454545454547,SIFTGPU
g03_siftgpu,q_002,cw_s300_x253983.721_y3364552.517,13,8,105,52,0.49523809523809526,1,0,,ok,0,cw_s500_x254008.721_y3364877.517,0.8004390001296997,0.44297710008606817,300.0,0.49523809523809526,SIFTGPU
g03_siftgpu,q_002,cw_s300_x254208.721_y3365227.517,19,9,25,6,0.24,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.7895430326461792,0.0917285895957438,300.0,0.24,SIFTGPU
g03_siftgpu,q_002,cw_s300_x254208.721_y3365002.517,8,10,26,5,0.19230769230769232,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8180068135261536,0.2374051025423142,300.0,0.19230769230769232,SIFTGPU
g03_siftgpu,q_002,cw_s500_x254758.721_y3364877.517,9,11,15,5,0.3333333333333333,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8088025450706482,0.2208343949726982,500.0,0.3333333333333333,SIFTGPU
g03_siftgpu,q_002,cw_s300_x254658.721_y3365002.517,14,12,20,5,0.25,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.7999754548072815,0.1514604695745876,300.0,0.25,SIFTGPU
g03_siftgpu,q_002,cw_s300_x254208.721_y3364102.517,20,13,26,5,0.19230769230769232,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.7879944443702698,0.050505604388391134,300.0,0.19230769230769232,SIFTGPU
g03_siftgpu,q_002,cw_s200_x254233.721_y3364052.517,4,14,24,4,0.16666666666666666,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8298798203468323,0.2964067088562875,200.0,0.16666666666666666,SIFTGPU
g03_siftgpu,q_002,cw_s300_x254658.721_y3365227.517,5,15,25,4,0.16,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8254281282424927,0.27007321688658886,300.0,0.16,SIFTGPU
g03_siftgpu,q_002,cw_s200_x253933.721_y3364352.517,6,16,18,4,0.2222222222222222,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8207162618637085,0.25915061727209854,200.0,0.2222222222222222,SIFTGPU
g03_siftgpu,q_002,cw_s300_x255108.721_y3365227.517,10,17,14,4,0.2857142857142857,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8064156770706177,0.19532933789069942,300.0,0.2857142857142857,SIFTGPU
g03_siftgpu,q_002,cw_s200_x254233.721_y3364952.517,12,18,28,4,0.14285714285714285,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.8007038831710815,0.12867834568373177,200.0,0.14285714285714285,SIFTGPU
g03_siftgpu,q_002,cw_s200_x254683.721_y3364952.517,16,19,26,4,0.15384615384615385,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.7996937036514282,0.125759914357413,200.0,0.15384615384615385,SIFTGPU
g03_siftgpu,q_002,cw_s200_x254683.721_y3364202.517,18,20,28,4,0.14285714285714285,0,0,,pnp_failed,0,cw_s500_x254008.721_y3364877.517,0.7933623790740967,0.0879368198265151,200.0,0.14285714285714285,SIFTGPU
g03_siftgpu,q_003,cw_s500_x254008.721_y3364502.517,3,1,935,238,0.2545454545454545,1,1,rerank_field,ok,1,cw_s500_x254008.721_y3364502.517,0.6942495107650757,0.7114973914337498,500.0,0.2545454545454545,SIFTGPU
