query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,1,2,cw_s200_x253783.721_y3364952.517,0.8875207901000977,200.000,253783.72102534556,3364952.5166208195,5000,1.0,2608,0.5216,1.9513847827911377,1,2608060.2086152174,0.9784449731315836,1.0,0.7707305630385801,1.0038163270757814,1,1
q_001,2,8,cw_s200_x254233.721_y3364052.517,0.8690857291221619,200.000,254233.72102534556,3364052.5166208195,5000,0.8801427483558655,143,0.0286,2.368786334991455,1,143009.29264114855,0.5899407362373164,0.8579635770102939,0.21754748170126303,0.46650478351568436,0,0
q_001,3,14,cw_s200_x254083.721_y3364052.517,0.8563501834869385,200.000,254083.72102534556,3364052.5166208195,5000,0.8451894521713257,135,0.027,2.2451236248016357,1,135008.90677089692,0.32154924871436075,0.8165422938284288,0.21458617767850435,0.3573714060928469,0,0
q_001,4,17,cw_s200_x255133.721_y3364052.517,0.8482683897018433,200.000,255133.72102534556,3364052.5166208195,5000,0.8892815709114075,132,0.0264,1.9056116342544556,1,132009.62720407487,0.15123187732225268,0.8687935071840712,0.24350715201239978,0.306597042136341,0,0
q_001,5,7,cw_s200_x255133.721_y3364202.517,0.870297908782959,200.000,255133.72102534556,3364202.5166208195,5000,0.9348386526107788,130,0.026,2.1099820137023926,1,130009.83840451241,0.6154864577654622,0.9227807698458308,0.24241207190957753,0.4916418262519314,0,0
q_001,6,12,cw_s200_x254983.721_y3365252.517,0.8615201711654663,200.000,254983.72102534556,3365252.5166208195,5000,0.9002422094345093,112,0.0224,2.378816604614258,1,112008.86360548974,0.4305026240356135,0.8817823740915726,0.21544293045105156,0.4014668078848763,0,0
q_001,7,3,cw_s200_x254083.721_y3365102.517,0.8872108459472656,200.000,254083.72102534556,3365102.5166208195,5000,0.9681540727615356,106,0.0212,2.08784818649292,1,106009.71369254112,0.9719131468078211,0.962261093678571,0.24667109445643046,0.6867679153969868,1,0
q_001,8,4,cw_s300_x255108.721_y3364327.517,0.8848994970321655,300.000,255108.72102534556,3364327.5166208195,5000,0.7026541829109192,97,0.0194,2.1116831302642822,1,97006.85485869885,0.9232033081188089,0.6476313642191607,0.18057523693480843,0.6276264654084087,1,0
q_001,9,6,cw_s200_x254683.721_y3364052.517,0.876128613948822,200.000,254683.72102534556,3364052.5166208195,5000,0.7529878616333008,85,0.017,2.3647494316101074,1,85006.86512918472,0.7383639282403511,0.707279116721168,0.1758417614271512,0.5008506281524312,0,0
q_001,10,9,cw_s200_x254983.721_y3364352.517,0.8683090806007385,200.000,254983.72102534556,3364352.5166208195,5000,0.7598289251327515,79,0.0158,1.99878990650177,1,79007.17949934483,0.5735734868145037,0.7153860954444281,0.1968101394275853,0.4475154783823526,0,0
q_001,11,18,cw_s300_x254883.721_y3364327.517,0.8456732034683228,300.000,254883.72102534556,3364327.5166208195,5000,0.7196378707885742,61,0.0122,2.5373079776763916,1,61005.87907073021,0.09654039306521024,0.667757825006682,0.15335858863816249,0.2306313104089816,0,0
q_001,12,20,cw_s200_x254233.721_y3364652.517,0.8410922288894653,200.000,254233.72102534556,3364652.5166208195,5000,0.8969390392303467,61,0.0122,2.1389548778533936,1,61008.05043551445,0.0,0.8778679636250416,0.21776838967783677,0.23066103380670205,0,0
q_001,13,10,cw_s300_x255108.721_y3364102.517,0.8644502758979797,300.000,255108.72102534556,3364102.5166208195,5000,0.8952966928482056,60,0.012,2.4904630184173584,1,60007.66250391006,0.4922522490836601,0.8759217067050014,0.19742071615678694,0.4153533293275362,0,0
q_001,14,1,cw_s300_x254883.721_y3365002.517,0.8885436058044434,300.000,254883.72102534556,3365002.5166208195,5000,0.674875020980835,40,0.008,2.6689999103546143,0,-1.0,1.0,0.6147117641108925,0.06553866107366593,0.4393231966441996,0,0
q_001,15,13,cw_s300_x254208.721_y3364102.517,0.85735023021698,300.000,254208.72102534556,3364102.5166208195,5000,0.897651731967926,38,0.0076,2.389535903930664,0,-1.0,0.3426244375720699,0.8787125376975147,0.0995884182215996,0.19680282596178772,0,0
q_001,16,5,cw_s300_x254658.721_y3364102.517,0.8769936561584473,300.000,254658.72102534556,3364102.5166208195,5000,0.8264614939689636,34,0.0068,2.147233247756958,0,-1.0,0.756594004285883,0.794348791503996,0.09755409986562882,0.3611700616337305,0,0
q_001,17,15,cw_s300_x255108.721_y3365002.517,0.8521398305892944,300.000,255108.72102534556,3365002.5166208195,5000,0.8964853286743164,28,0.0056,1.453218698501587,0,-1.0,0.23281941258783423,0.8773302954942676,0.12474422308509926,0.16797429888619325,0,0
q_001,18,11,cw_s200_x254833.721_y3364052.517,0.8640314936637878,200.000,254833.72102534556,3364052.5166208195,5000,0.6624658107757568,22,0.0044,1.68843412399292,0,-1.0,0.48342674682389947,0.6000062723239639,0.08979204744883426,0.24724592719886035,0,0
q_001,19,16,cw_s300_x254883.721_y3364102.517,0.8518952131271362,300.000,254883.72102534556,3364102.5166208195,5000,0.39540958404541016,16,0.0032,1.5478668212890625,0,-1.0,0.22766429427384932,0.28353221120892547,0.06148451790991414,0.1279564284554882,0,0
q_001,20,19,cw_s200_x254833.721_y3364202.517,0.8421381115913391,200.000,254833.72102534556,3364202.5166208195,5000,0.15615129470825195,8,0.0016,1.28824782371521,0,-1.0,0.022041145481357917,0.0,0.03961320093257894,0.032584378752090526,0,0
