flight_id,flight_tag,query_id,rank,candidate_tile_id,is_intersection_truth_hit,match_count,inlier_count,inlier_ratio,fused_score,global_score,candidate_scale_level_m,query_path,tile_path,out_path
DJI_202510311347_009_新建面状航线1,009,q_002,1,s300_x253696.869_y3365187.480,1,11,4,0.363636,0.5996686024226114,0.8522040843963623,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253696.869_y3365187.480.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank01_s300_x253696.869_y3365187.480.png
DJI_202510311347_009_新建面状航线1,009,q_002,2,s300_x255992.683_y3363312.726,0,13,4,0.307692,0.5973076923076923,0.8528394103050232,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x255992.683_y3363312.726.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank02_s300_x255992.683_y3363312.726.png
DJI_202510311347_009_新建面状航线1,009,q_002,3,s200_x253933.067_y3364978.442,1,22,5,0.227273,0.5505844064148386,0.8448837399482727,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364978.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank03_s200_x253933.067_y3364978.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,4,s200_x253905.470_y3363310.367,0,21,5,0.238095,0.46612975448535754,0.8282750248908997,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253905.470_y3363310.367.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank04_s200_x253905.470_y3363310.367.png
DJI_202510311347_009_新建面状航线1,009,q_002,5,s200_x253810.673_y3365746.519,0,23,4,0.173913,0.46554951918218,0.8315526247024536,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253810.673_y3365746.519.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank05_s200_x253810.673_y3365746.519.png
DJI_202510311347_009_新建面状航线1,009,q_002,6,s200_x256017.683_y3363412.726,0,26,4,0.153846,0.448520475218546,0.8288541436195374,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x256017.683_y3363412.726.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank06_s200_x256017.683_y3363412.726.png
DJI_202510311347_009_新建面状航线1,009,q_002,7,s300_x253908.067_y3365028.442,1,24,4,0.166667,0.4482090662489525,0.8285543918609619,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3365028.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank07_s300_x253908.067_y3365028.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,8,s200_x253783.067_y3364828.442,1,25,5,0.200000,0.4446138273252861,0.8257020115852356,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253783.067_y3364828.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank08_s200_x253783.067_y3364828.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,9,s200_x255717.683_y3363262.726,0,20,4,0.200000,0.4382883776962382,0.8261274099349976,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x255717.683_y3363262.726.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank09_s200_x255717.683_y3363262.726.png
DJI_202510311347_009_新建面状航线1,009,q_002,10,s200_x254188.610_y3365734.565,0,16,4,0.250000,0.41557734640805083,0.8210709691047668,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254188.610_y3365734.565.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_002/rank10_s200_x254188.610_y3365734.565.png
