query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,cw_s300_x254883.721_y3365002.517,1,0.8885436058044434,300.000,5000,0.6596132516860962,32,0.0064,2.077726364135742,0,-1.0,1.0,0.597589245627549,0.08240856569031091,0.44944513941418657,0,0
q_001,cw_s200_x253783.721_y3364952.517,2,0.8875207901000977,200.000,5000,1.0,2649,0.5298,1.9995262622833252,1,2649060.9804737377,0.9784449731315836,1.0,0.775500010954357,1.0066779958252476,1,1
q_001,cw_s200_x254083.721_y3365102.517,3,0.8872108459472656,200.000,5000,0.9741941690444946,134,0.0268,2.102344274520874,1,134010.31959741592,0.9719131468078211,0.9694919265998092,0.25838295155902175,0.6937950296585416,1,0
q_001,cw_s300_x255108.721_y3364327.517,4,0.8848994970321655,300.000,5000,0.6780329942703247,89,0.0178,2.80438494682312,1,89005.75594499588,0.9232033081188089,0.6193653651309738,0.14176210662377875,0.6043385872217909,1,0
q_001,cw_s300_x254658.721_y3364102.517,5,0.8769936561584473,300.000,5000,0.827682614326477,18,0.0036,1.5598793029785156,0,-1.0,0.756594004285883,0.7962835818260952,0.11472021149488487,0.37146972861128413,0,0
q_001,cw_s200_x254683.721_y3364052.517,6,0.876128613948822,200.000,5000,0.7481868267059326,111,0.0222,2.15578031539917,1,111007.54608795166,0.7383639282403511,0.7023023677386584,0.19746386209975272,0.5138238885559921,0,0
q_001,cw_s200_x255133.721_y3364202.517,7,0.870297908782959,200.000,5000,0.9306378960609436,96,0.0192,1.9501575231552124,1,96009.27622143745,0.6154864577654622,0.9179989917079979,0.24858646407081927,0.49534646154867645,0,0
q_001,cw_s200_x254233.721_y3364052.517,8,0.8690857291221619,200.000,5000,0.8825339674949646,123,0.0246,2.4952194690704346,1,123008.79012020589,0.5899407362373164,0.8611297443639073,0.21348553452603394,0.46406761521054685,0,0
q_001,cw_s200_x254983.721_y3364352.517,9,0.8683090806007385,200.000,5000,0.7703437209129333,52,0.0104,2.1262459754943848,1,52006.617191233636,0.5735734868145037,0.7284966087205877,0.19242341087537485,0.4448834412510264,0,0
q_001,cw_s300_x255108.721_y3364102.517,10,0.8644502758979797,300.000,5000,0.9046571254730225,57,0.0114,2.3009090423583984,1,57007.88566221237,0.4922522490836601,0.8872841018268519,0.21584359193569808,0.42640705479488283,0,0
q_001,cw_s200_x254833.721_y3364052.517,11,0.8640314936637878,200.000,5000,0.659680187702179,23,0.0046,1.7767771482467651,0,-1.0,0.48342674682389947,0.5976683784752876,0.08956051255934955,0.24710700626516954,0,0
q_001,cw_s200_x254983.721_y3365252.517,12,0.8615201711654663,200.000,5000,0.8978240489959717,134,0.0268,2.2258987426757812,1,134009.43234174728,0.4305026240356135,0.8792059275928806,0.23371711186879662,0.41243131673552336,0,0
q_001,cw_s300_x254208.721_y3364102.517,13,0.85735023021698,300.000,5000,0.9059605598449707,34,0.0068,1.9167792797088623,0,-1.0,0.3426244375720699,0.8888250431575261,0.11603748761443188,0.20667226759748708,0,0
q_001,cw_s200_x254083.721_y3364052.517,14,0.8563501834869385,200.000,5000,0.843799889087677,214,0.0428,2.5358288288116455,1,214010.18217006206,0.32154924871436075,0.8153376863915919,0.22044605749162216,0.3608873339807176,0,0
q_001,cw_s300_x255108.721_y3365002.517,15,0.8521398305892944,300.000,5000,0.9023908972740173,45,0.009,2.01767897605896,0,-1.0,0.23281941258783423,0.884604929962321,0.11402253383885298,0.16154128533844547,0,0
q_001,cw_s300_x254883.721_y3364102.517,16,0.8518952131271362,300.000,5000,0.3862902820110321,27,0.0054,2.068941354751587,0,-1.0,0.22766429427384932,0.27446238196706857,0.04982832319597104,0.12096271162712235,0,0
q_001,cw_s200_x255133.721_y3364052.517,17,0.8482683897018433,200.000,5000,0.8839103579521179,157,0.0314,1.5721639394760132,1,157010.40693964006,0.15123187732225268,0.8627569355660258,0.27001706970000566,0.3225029927489045,0,0
q_001,cw_s300_x254883.721_y3364327.517,18,0.8456732034683228,300.000,5000,0.7090245485305786,59,0.0118,2.616272449493408,1,59005.65397303581,0.09654039306521024,0.656004085030676,0.15312153734600562,0.23048907963368748,0,0
q_001,cw_s200_x254833.721_y3364202.517,19,0.8421381115913391,200.000,5000,0.15413108468055725,6,0.0012,0.49810829758644104,0,-1.0,0.022041145481357917,0.0,0.062281676482938114,0.04618546408230603,0,0
q_001,cw_s200_x254233.721_y3364652.517,20,0.8410922288894653,200.000,5000,0.9029638767242432,52,0.0104,2.651761770248413,1,52007.417876996995,0.0,0.885282315594833,0.19567193994919085,0.2174031639695145,0,0
q_002,cw_s200_x253933.721_y3364802.517,1,0.8600766062736511,200.000,5000,0.9998055696487427,1523,0.3046,1.887268304824829,1,1523038.5707873916,1.0,0.9995639923438018,0.6186363203592207,0.9211817922155324,1,0
q_002,cw_s500_x254008.721_y3364502.517,2,0.8338605761528015,500.000,5000,0.9954949021339417,1210,0.242,2.0975019931793213,1,1210032.057447028,0.63630349827757,0.9898973737956993,0.5286942304720871,0.7217379375942803,1,0
q_002,cw_s300_x253983.721_y3365002.517,3,0.8303207755088806,300.000,5000,1.0,1590,0.318,1.9895099401474,1,1590039.81049006,0.5871956392671032,1.0,0.6294919635322663,0.762573433826201,1,0
q_002,cw_s200_x254233.721_y3364052.517,4,0.8298798203468323,200.000,5000,0.8790353536605835,110,0.022,2.2340810298919678,1,110008.75627250671,0.5810782428072218,0.7287382777831243,0.20017664701623544,0.50253728533263,1,0
q_002,cw_s300_x254658.721_y3365227.517,5,0.8254281282424927,300.000,5000,0.9427950978279114,24,0.0048,2.246356248855591,0,-1.0,0.519319660839236,0.871718714913547,0.1035423333108247,0.2698532643221892,0,0
q_002,cw_s200_x253933.721_y3364352.517,6,0.8207162618637085,200.000,5000,0.7522558569908142,106,0.0212,2.2785844802856445,1,106007.36397408962,0.4539516661181572,0.4444368256717886,0.13989964856247677,0.365520455584749,0,0
q_002,cw_s500_x254008.721_y3364877.517,7,0.8190638422966003,500.000,5000,0.9992238283157349,1142,0.2284,2.1087522506713867,1,1142030.7234860326,0.43102755391792863,0.9982594446048396,0.5131332976879416,0.5802910001799364,0,1
q_002,cw_s300_x254208.721_y3365002.517,8,0.8180068135261536,300.000,5000,0.727633535861969,34,0.0068,2.2542099952697754,0,-1.0,0.4163633326663017,0.38922157529485985,0.05629920295530219,0.200324854839702,0,0
q_002,cw_s500_x254758.721_y3364877.517,9,0.8088025450706482,500.000,5000,0.8605645298957825,36,0.0072,2.2721853256225586,0,-1.0,0.2886719841764668,0.6873176841069729,0.08586055931328103,0.16698512925855533,0,0
q_002,cw_s300_x255108.721_y3365227.517,10,0.8064156770706177,300.000,5000,0.5540666580200195,37,0.0074,2.101505994796753,0,-1.0,0.2555588263992366,0.0,0.021928478192780133,0.11538061747536273,0,0
q_002,cw_s300_x253983.721_y3364777.517,11,0.8023219704627991,300.000,5000,0.9994159936904907,1132,0.2264,2.020399332046509,1,1132030.6137606048,0.19876659792382279,0.9986903730792673,0.515618512114403,0.48887774643817095,0,1
