method,query_count,recall@1,recall@5,recall@10,mrr,top1_error_m_mean,feature_ms_mean,retrieval_ms_mean,total_ms_mean
pooler,20,0.05,0.6,1.0,0.3326190476190476,582.7302839262669,2967.803373292554,0.52385323215276,2968.3295315946452
cls,20,0.05,0.6,1.0,0.3326190476190476,582.7302839262669,3387.6722124405205,0.8953516138717532,3388.5695991455577
mean,20,0.25,0.5,0.85,0.40569444444444447,424.16544767537715,3118.9163815928623,0.5996846011839807,3119.518386432901
gem,20,0.25,0.6,0.75,0.3943055555555556,526.4265375129897,2893.5768945142627,1.2603837181814015,2894.8396033607423
