query_id,flight_id,image_name,original_query_path,sanitized_query_path,has_metadata_removed,sanitization_method,downsample_target_gsd_m,estimated_query_gsd_m,downsample_scale,original_width_px,original_height_px,downsampled_width_px,downsampled_height_px,intrinsics_scale_x,intrinsics_scale_y
q_011,DJI_202510311347_009_新建面状航线1,DJI_20251031140135_0215_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099933919173,0.099933919173,5280,3956,528,395,0.100000000000,0.099848331648
q_012,DJI_202510311347_009_新建面状航线1,DJI_20251031140321_0240_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099929355600,0.099929355600,5280,3956,528,395,0.100000000000,0.099848331648
q_013,DJI_202510311347_009_新建面状航线1,DJI_20251031140335_0246_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140335_0246_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099939824973,0.099939824973,5280,3956,528,395,0.100000000000,0.099848331648
q_014,DJI_202510311347_009_新建面状航线1,DJI_20251031140411_0267_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140411_0267_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099932576946,0.099932576946,5280,3956,528,395,0.100000000000,0.099848331648
q_015,DJI_202510311347_009_新建面状航线1,DJI_20251031140559_0296_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140559_0296_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099934724509,0.099934724509,5280,3956,528,395,0.100000000000,0.099848331648
q_016,DJI_202510311347_009_新建面状航线1,DJI_20251031140618_0304_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140618_0304_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099933113836,0.099933113836,5280,3956,528,395,0.100000000000,0.099848331648
q_017,DJI_202510311347_009_新建面状航线1,DJI_20251031140841_0354_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140841_0354_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099932845391,0.099932845391,5280,3956,528,395,0.100000000000,0.099848331648
q_018,DJI_202510311347_009_新建面状航线1,DJI_20251031140856_0360_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140856_0360_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099932576946,0.099932576946,5280,3956,528,395,0.100000000000,0.099848331648
q_019,DJI_202510311347_009_新建面状航线1,DJI_20251031140905_0364_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140905_0364_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099937677409,0.099937677409,5280,3956,528,395,0.100000000000,0.099848331648
q_020,DJI_202510311347_009_新建面状航线1,DJI_20251031141125_0412_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099933919173,0.099933919173,5280,3956,528,395,0.100000000000,0.099848331648
