query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,romav2_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,romav2_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_021,1,14,cw_s200_x254983.721_y3364052.517,0.8322062492370605,200.000,254983.72102534556,3364052.5166208195,5000,1.0,3681,0.7362,1.6067392826080322,1,3681082.0132607175,0.27396043498025835,1.0,0.825888013327103,0.7051169819883651,0,1
q_021,2,6,cw_s200_x254983.721_y3364202.517,0.881038248538971,200.000,254983.72102534556,3364202.5166208195,5000,1.0,3453,0.6906,1.7041919231414795,1,3453077.355808077,0.692424621639706,1.0,0.783151849970892,0.8468609586384176,0,1
q_021,3,2,cw_s300_x254883.721_y3364327.517,0.9167438745498657,300.000,254883.72102534556,3364327.5166208195,5000,1.0,2493,0.4986,1.9166406393051147,1,2493057.9433593606,0.9984027909019865,1.0,0.6165308134654248,0.9192796044400495,1,0
q_021,4,4,cw_s200_x254983.721_y3364352.517,0.8953927755355835,200.000,254983.72102534556,3364352.5166208195,5000,0.9994140863418579,2444,0.4888,1.9425817728042603,1,2444056.9315590905,0.8154352611873592,0.9987248258505171,0.6067548412517365,0.8402270092259857,1,0
q_021,5,8,cw_s200_x254833.721_y3364052.517,0.8723554015159607,200.000,254833.72102534556,3364052.5166208195,5000,0.9998023509979248,2425,0.485,1.9352339506149292,1,2425056.5627895594,0.6180172541488107,0.9995698395239384,0.6044038261038739,0.7098491973218486,0,0
q_021,6,12,cw_s200_x254683.721_y3364052.517,0.8357880115509033,200.000,254683.72102534556,3364052.5166208195,5000,0.9986127018928528,2228,0.4456,2.13242506980896,1,2228052.413701949,0.3046542274707706,0.9969807041374147,0.5593543209019008,0.5574742835294487,0,0
q_021,7,13,cw_s200_x254833.721_y3364352.517,0.8352828025817871,200.000,254833.72102534556,3364352.5166208195,5000,0.9947024583816528,2112,0.4224,1.92471444606781,1,2112050.262310138,0.3003248560877316,0.9884705057927023,0.5532296115632388,0.5520677093730358,0,0
q_021,8,15,cw_s200_x254833.721_y3363902.517,0.8199765086174011,200.000,254833.72102534556,3363902.5166208195,5000,0.9998037219047546,2082,0.4164,2.1057257652282715,1,2082049.5323114537,0.16915808130596233,0.9995728231460583,0.5385048263673196,0.49076612834277666,0,0
q_021,9,1,cw_s300_x254883.721_y3364102.517,0.9169302582740784,300.000,254883.72102534556,3364102.5166208195,5000,0.9998024702072144,1937,0.3874,1.6083012819290161,1,1937047.1297234201,1.0,0.9995700989693401,0.5489831638273655,0.8793898982964193,1,1
q_021,10,19,cw_s200_x254683.721_y3364202.517,0.801853358745575,200.000,254683.72102534556,3364202.5166208195,5000,0.9990158081054688,1844,0.3688,2.0651307106018066,1,1844044.8050273703,0.013852353929686024,0.9978580187633509,0.503132093685647,0.40742019778326266,0,0
q_021,11,11,cw_s200_x254833.721_y3364202.517,0.8370513916015625,200.000,254833.72102534556,3364202.5166208195,5000,0.999612033367157,1604,0.3208,2.0053911209106445,1,1604040.0707292128,0.3154807206084411,0.9991556349400831,0.4693332788618691,0.5077922555604979,0,0
