download_request_id,dsm_source_name,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
srtm_s500_x255353.340_y3364033.631,srtm,EPSG:32650,254853.340363,3363533.631279,255853.340363,3364533.631279,s500_x255353.340_y3364033.631,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255353.340_y3364033.631.tif,ready
srtm_s300_x255505.764_y3365376.700,srtm,EPSG:32650,255105.764372,3364976.699867,255905.764372,3365776.699867,s300_x255505.764_y3365376.700,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255505.764_y3365376.700.tif,ready
srtm_s200_x254447.293_y3363907.454,srtm,EPSG:32650,254097.292809,3363557.454095,254797.292809,3364257.454095,s200_x254447.293_y3363907.454,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254447.293_y3363907.454.tif,ready
srtm_s200_x254716.545_y3365722.637,srtm,EPSG:32650,254366.545408,3365372.637183,255066.545408,3366072.637183,s200_x254716.545_y3365722.637,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254716.545_y3365722.637.tif,ready
srtm_s700_x255480.764_y3365351.700,srtm,EPSG:32650,254880.764372,3364751.699867,256080.764372,3365951.699867,s700_x255480.764_y3365351.700,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x255480.764_y3365351.700.tif,ready
srtm_s200_x254989.058_y3364804.565,srtm,EPSG:32650,254639.057640,3364454.565214,255339.057640,3365154.565214,s200_x254989.058_y3364804.565,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254989.058_y3364804.565.tif,ready
srtm_s200_x254311.063_y3364666.491,srtm,EPSG:32650,253961.062930,3364316.490742,254661.062930,3365016.490742,s200_x254311.063_y3364666.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254311.063_y3364666.491.tif,ready
srtm_s500_x255227.800_y3365263.601,srtm,EPSG:32650,254727.800396,3364763.600992,255727.800396,3365763.600992,s500_x255227.800_y3365263.601,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255227.800_y3365263.601.tif,ready
srtm_s200_x254825.317_y3364195.530,srtm,EPSG:32650,254475.317141,3363845.529848,255175.317141,3364545.529848,s200_x254825.317_y3364195.530,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254825.317_y3364195.530.tif,ready
srtm_s300_x255464.632_y3363324.598,srtm,EPSG:32650,255064.631736,3362924.597604,255864.631736,3363724.597604,s300_x255464.632_y3363324.598,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255464.632_y3363324.598.tif,ready
