query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_001,cw_s300_x254883.721_y3365002.517,1,0.8885436058044434,300.000,13,0.3076923076923077,4,0.3076923076923077,0.0001220703125,0,-1.0,1.0,0.3707874078185711,0.1524919335699015,0.49149516014194095,0,0
q_001,cw_s200_x253783.721_y3364952.517,2,0.8875207901000977,200.000,668,0.6122754491017964,409,0.6122754491017964,2.1115078926086426,1,409065.23879150854,0.9784449731315836,1.0,0.7530688622754491,0.9932193066179029,1,1
q_001,cw_s200_x254083.721_y3365102.517,3,0.8872108459472656,200.000,17,0.23529411764705882,4,0.23529411764705882,0.0,0,-1.0,0.9719131468078211,0.22122610046318106,0.12849036497224936,0.4658594777064781,0,0
q_001,cw_s300_x255108.721_y3364327.517,4,0.8848994970321655,300.000,15,0.26666666666666666,4,0.26666666666666666,0.0005083701689727604,0,-1.0,0.9232033081188089,0.2860360003171834,0.13887486645976072,0.45260624312338005,0,0
q_001,cw_s300_x254658.721_y3364102.517,5,0.8769936561584473,300.000,19,0.21052631578947367,4,0.21052631578947367,0.0,0,-1.0,0.756594004285883,0.1700603900521266,0.12027781869894577,0.3748042929337207,0,0
q_001,cw_s200_x254683.721_y3364052.517,6,0.876128613948822,200.000,18,0.2222222222222222,4,0.2222222222222222,0.0,0,-1.0,0.7383639282403511,0.1942219755240134,0.12415596555022801,0.36983915062627726,0,0
q_001,cw_s200_x255133.721_y3364202.517,7,0.870297908782959,200.000,13,0.3076923076923077,4,0.3076923076923077,6.823938019806519e-05,0,-1.0,0.6154864577654622,0.3707874078185711,0.15249384562523258,0.33769089048132445,0,0
q_001,cw_s200_x254233.721_y3364052.517,8,0.8690857291221619,200.000,20,0.2,4,0.2,0.0,0,-1.0,0.5899407362373164,0.14831496312742848,0.11678748653279175,0.3060487864146016,0,0
q_001,cw_s200_x254983.721_y3364352.517,9,0.8683090806007385,200.000,16,0.25,4,0.25,7.62939453125e-06,0,-1.0,0.5735734868145037,0.2516057410197447,0.13336629332867694,0.30944917072300765,0,0
q_001,cw_s300_x255108.721_y3364102.517,10,0.8644502758979797,300.000,17,0.23529411764705882,4,0.23529411764705882,0.00018310546875,0,-1.0,0.4922522490836601,0.22122610046318106,0.12848386113193488,0.27399121631262496,0,0
